comp_id,comp_type,label,pmax_mw,for_rate,mttr_hr,lam_per_hr,mu_per_hr,hf
GEN_1007_1,generator,Bus1007_Gen1,79.0,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1008_1,generator,Bus1008_Gen1,79.0,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1031_1,generator,Bus1031_Gen1,7.99,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1032_2,generator,Bus1032_Gen2,7.99,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1033_3,generator,Bus1033_Gen3,7.99,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1034_4,generator,Bus1034_Gen4,7.99,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1035_5,generator,Bus1035_Gen5,9.87,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1036_6,generator,Bus1036_Gen6,9.87,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1037_7,generator,Bus1037_Gen7,9.87,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1038_8,generator,Bus1038_Gen8,9.87,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1039_9,generator,Bus1039_Gen9,9.87,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1040_10,generator,Bus1040_Gen10,9.87,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1041_11,generator,Bus1041_Gen11,9.87,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1042_12,generator,Bus1042_Gen12,9.87,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_1060_1,generator,Bus1060_Gen1,456.5,0.020315,23.4,0.00088604,0.04272896,1.0
GEN_1061_2,generator,Bus1061_Gen2,456.5,0.020315,23.4,0.00088604,0.04272896,1.0
GEN_1062_S,generator,Bus1062_GenS,456.5,0.020315,23.4,0.00088604,0.04272896,1.0
GEN_1063_1,generator,Bus1063_Gen1,456.5,0.020315,23.4,0.00088604,0.04272896,1.0
GEN_1064_2,generator,Bus1064_Gen2,456.5,0.020315,23.4,0.00088604,0.04272896,1.0
GEN_1065_S,generator,Bus1065_GenS,456.5,0.020315,23.4,0.00088604,0.04272896,1.0
GEN_1066_1,generator,Bus1066_Gen1,456.5,0.020315,23.4,0.00088604,0.04272896,1.0
GEN_1067_2,generator,Bus1067_Gen2,456.5,0.020315,23.4,0.00088604,0.04272896,1.0
GEN_1077_1,generator,Bus1077_Gen1,92.8,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1079_S,generator,Bus1079_GenS,158.7,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_1083_3,generator,Bus1083_Gen3,537.1,0.001,3.95,0.00025342,0.25316456,1.0
GEN_1084_4,generator,Bus1084_Gen4,537.1,0.001,3.95,0.00025342,0.25316456,1.0
GEN_1087_1,generator,Bus1087_Gen1,92.8,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1089_S,generator,Bus1089_GenS,158.7,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_1091_1,generator,Bus1091_Gen1,92.8,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1093_S,generator,Bus1093_GenS,158.7,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_1094_1,generator,Bus1094_Gen1,92.8,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1096_S,generator,Bus1096_GenS,158.7,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_1097_1,generator,Bus1097_Gen1,92.8,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1099_S,generator,Bus1099_GenS,158.7,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_1101_1,generator,Bus1101_Gen1,752.0,0.001,120.0,8.34e-06,0.00833333,1.0
GEN_1102_2,generator,Bus1102_Gen2,752.0,0.001,120.0,8.34e-06,0.00833333,1.0
GEN_1106_6,generator,Bus1106_Gen6,536.0,0.001,3.95,0.00025342,0.25316456,1.0
GEN_1201_1,generator,Bus1201_Gen1,94.2,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1202_2,generator,Bus1202_Gen2,94.2,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1203_S,generator,Bus1203_GenS,109.0,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1204_1,generator,Bus1204_Gen1,94.2,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1205_2,generator,Bus1205_Gen2,94.2,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1206_S,generator,Bus1206_GenS,109.0,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1211_1,generator,Bus1211_Gen1,86.5,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1212_2,generator,Bus1212_Gen2,86.5,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1213_S,generator,Bus1213_GenS,100.0,0.001,1.37,0.00073244,0.73170732,1.0
GEN_1214_1,generator,Bus1214_Gen1,248.0,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_1401_G,generator,Bus1401_GenG,97.2,0.001,1.37,0.00073244,0.73170732,1.0
GEN_10513_1,generator,Bus10513_Gen1,2.0,0.202734,591.98,0.00042955,0.00168924,1.0
GEN_10652_1,generator,Bus10652_Gen1,7.8,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_13142_1,generator,Bus13142_Gen1,2.68,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_13352_1,generator,Bus13352_Gen1,30.0,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_13372_1,generator,Bus13372_Gen1,75.9,0.001,1.37,0.00073244,0.73170732,1.0
GEN_13422_1,generator,Bus13422_Gen1,39.1,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_13532_1,generator,Bus13532_Gen1,9.2,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_13694_1,generator,Bus13694_Gen1,2.4,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_13702_1,generator,Bus13702_Gen1,48.3,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_13923_1,generator,Bus13923_Gen1,4.5,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_15024_1,generator,Bus15024_Gen1,6.9,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_20233_1,generator,Bus20233_Gen1,1.69,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_20513_1,generator,Bus20513_Gen1,22.068,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_20652_1,generator,Bus20652_Gen1,79.116,0.001,1.37,0.00073244,0.73170732,1.0
GEN_20805_1,generator,Bus20805_Gen1,1.135,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_20822_1,generator,Bus20822_Gen1,0.017,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_20853_1,generator,Bus20853_Gen1,12.493,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_20872_1,generator,Bus20872_Gen1,0.755,0.163078,437.99,0.00044488,0.00228316,1.0
GEN_21085_1,generator,Bus21085_Gen1,15.532,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_21123_1,generator,Bus21123_Gen1,14.952,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_21583_1,generator,Bus21583_Gen1,2.292,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_21593_1,generator,Bus21593_Gen1,2.292,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_21663_1,generator,Bus21663_Gen1,3.286,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_21752_1,generator,Bus21752_Gen1,20.678,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_22003_1,generator,Bus22003_Gen1,16.094,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_22133_1,generator,Bus22133_Gen1,12.39,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_22143_1,generator,Bus22143_Gen1,12.39,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_22162_1,generator,Bus22162_Gen1,114.59,0.001,1.37,0.00073244,0.73170732,1.0
GEN_22173_1,generator,Bus22173_Gen1,2.961,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_22183_1,generator,Bus22183_Gen1,2.961,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_22202_1,generator,Bus22202_Gen1,57.216,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_22303_1,generator,Bus22303_Gen1,40.452,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_22322_1,generator,Bus22322_Gen1,367.935,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_22332_1,generator,Bus22332_Gen1,9999.0,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_22353_1,generator,Bus22353_Gen1,27.898,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_22402_1,generator,Bus22402_Gen1,163.353,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_22603_1,generator,Bus22603_Gen1,23.53,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_22613_1,generator,Bus22613_Gen1,23.53,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_22672_1,generator,Bus22672_Gen1,93.489,0.001,1.37,0.00073244,0.73170732,1.0
GEN_22753_1,generator,Bus22753_Gen1,7.956,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_22763_1,generator,Bus22763_Gen1,7.956,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_22802_1,generator,Bus22802_Gen1,17.941,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_22812_1,generator,Bus22812_Gen1,17.941,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_22862_1,generator,Bus22862_Gen1,33.122,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_22902_1,generator,Bus22902_Gen1,50.394,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_22932_1,generator,Bus22932_Gen1,207.726,0.015414,127.32,0.00012297,0.00785443,1.0
GEN_22952_1,generator,Bus22952_Gen1,202.384,0.001,72.0,1.39e-05,0.01388889,1.0
GEN_23002_1,generator,Bus23002_Gen1,14.219,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23102_1,generator,Bus23102_Gen1,69.47,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23122_1,generator,Bus23122_Gen1,1.65,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23132_1,generator,Bus23132_Gen1,10.11,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23142_1,generator,Bus23142_Gen1,32.688,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_23162_1,generator,Bus23162_Gen1,18.883,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23182_1,generator,Bus23182_Gen1,5.779,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23222_1,generator,Bus23222_Gen1,20.4,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23232_1,generator,Bus23232_Gen1,0.569,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23242_1,generator,Bus23242_Gen1,11.352,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23282_1,generator,Bus23282_Gen1,18.478,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23292_1,generator,Bus23292_Gen1,14.007,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23302_1,generator,Bus23302_Gen1,9.646,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23322_1,generator,Bus23322_Gen1,61.919,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23342_1,generator,Bus23342_Gen1,41.361,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23352_1,generator,Bus23352_Gen1,41.361,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23362_1,generator,Bus23362_Gen1,36.601,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_23364_1,generator,Bus23364_Gen1,36.601,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_23372_1,generator,Bus23372_Gen1,60.69,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23374_1,generator,Bus23374_Gen1,60.69,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23392_1,generator,Bus23392_Gen1,18.982,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23394_1,generator,Bus23394_Gen1,18.982,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23412_1,generator,Bus23412_Gen1,113.2,0.001,1.37,0.00073244,0.73170732,1.0
GEN_23422_1,generator,Bus23422_Gen1,61.993,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23442_1,generator,Bus23442_Gen1,1.154,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23452_1,generator,Bus23452_Gen1,48.051,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23462_1,generator,Bus23462_Gen1,47.834,0.001,48.0,2.085e-05,0.02083333,1.0
GEN_23472_1,generator,Bus23472_Gen1,16.088,0.03,72.0,0.000429553264604811,0.013888888888888888,1.0
GEN_23482_1,generator,Bus23482_Gen1,87.243,0.001,1.37,0.00073244,0.73170732,1.0
GEN_23522_1,generator,Bus23522_Gen1,25.994,0.006565,49.38,0.00013381,0.02024975,1.0
GEN_23532_1,generator,Bus23532_Gen1,79.352,0.001,1.37,0.00073244,0.73170732,1.0
GEN_23552_1,generator,Bus23552_Gen1,145.519,0.093874,295.0,0.00035119,0.00338983,1.0
GEN_23662_1,generator,Bus23662_Gen1,651.194,0.001,120.0,8.34e-06,0.00833333,1.0
