gen,cap_mw,fuel,match,cp2,cp1,cp0
212,156.5,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
213,183.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
214,552.0,coal,capacity,0.22,1035.43,86509.5
215,552.0,coal,capacity,0.22,1035.43,86509.5
216,552.0,coal,capacity,0.22,1035.43,86509.5
217,150.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
218,150.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
219,150.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
220,236.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
221,372.3,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
222,191.25,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
223,156.2,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
224,156.2,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
225,182.6,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
226,156.2,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
227,156.2,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
228,182.6,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
229,369.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
230,369.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
231,364.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
232,150.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
233,25.253,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
234,150.25,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
235,16.2,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
236,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
237,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
238,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
239,56.7,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
240,57.25,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
241,80.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
242,80.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
243,14.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
244,14.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
245,25.73,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
246,25.73,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
247,80.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
248,80.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
249,57.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
250,101.6,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
251,120.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
252,600.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
253,600.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
254,600.0,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
255,52.25,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
256,52.25,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
257,85.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
258,85.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
259,85.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
260,96.4,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
261,33.64,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
262,69.64,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
263,33.64,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
264,69.64,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
265,148.27,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
266,148.27,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
267,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
268,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
269,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
270,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
271,37.5,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
272,37.5,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
273,27.2,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
274,49.9,gas,fallback-gas,0.6377100000000001,1449.7079999999999,263971.38
275,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
276,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
277,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
278,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
279,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
280,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
281,100.0,gas,capacity,0.6377100000000001,1449.7079999999999,263971.38
