comp_type,comp_name,disaster,disaster_en,voltage_code,district,n_events,outage_hours,base_lambda,storm_lambda,hazard_factor
line,嘉民～龍崎紅線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.0,0.1,0.0,1.0
line,嘉義~新營、山上白線,丹娜絲,Typhoon Dana,L,嘉南供電區處,4,0.0,0.1,0.0,1.0
line,嘉義～三和線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.67,0.1,0.002778,1.0278
line,嘉義～仁愛山線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,1.2,0.1,0.005,1.05
line,嘉義～和睦山線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,2.55,0.1,0.010625,1.1062
line,嘉義～秀林二路,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.0,0.1,0.0,1.0
line,大寮～新塭線,丹娜絲,Typhoon Dana,L,嘉南供電區處,2,0.98,0.1,0.004097,1.041
line,天輪～龍崎海線,丹娜絲,Typhoon Dana,L,台中供電區處,4,5.27,0.1,0.021944,1.2194
line,岡山～大湖線,丹娜絲,Typhoon Dana,L,高屏供電區處,1,0.73,0.1,0.003056,1.0306
line,心忠~新營、東盟、榮剛、榮重線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.0,0.1,0.0,1.0
line,新塭～永華線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.0,0.1,0.0,1.0
line,新營~營糖、營紙、史谷脫線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.0,0.1,0.0,1.0
line,新營~白河、水上線,丹娜絲,Typhoon Dana,L,嘉南供電區處,2,2.07,0.1,0.008611,1.0861
line,新營～下營二路,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.0,0.1,0.0,1.0
line,新營～大寮二路,丹娜絲,Typhoon Dana,L,嘉南供電區處,4,3.27,0.1,0.013611,1.1361
line,新營～學甲二路,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.02,0.1,6.9e-05,1.0007
line,新營～新西線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.0,0.1,0.0,1.0
line,曾文~白河線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.15,0.1,0.000625,1.0063
line,楓港~九鵬、楓公線,丹娜絲,Typhoon Dana,L,高屏供電區處,1,6.38,0.1,0.026597,1.266
line,田寮~新西、學甲線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.08,0.1,0.000347,1.0035
line,秀林~中正、福隆、嘉酒、福隆二線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.05,0.1,0.000208,1.0021
line,秀林~頭橋、福隆二線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.02,0.1,6.9e-05,1.0007
line,茂泓~永華、學甲線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.07,0.1,0.000278,1.0028
line,萬大～鉅工線,丹娜絲,Typhoon Dana,L,台中供電區處,1,0.07,0.1,0.000278,1.0028
line,頭橋～嘉太線,丹娜絲,Typhoon Dana,L,嘉南供電區處,1,0.97,0.1,0.004028,1.0403
line,台南～保安線,凱米,Typhoon Gaemi,L,嘉南供電區處,1,7.52,0.1,0.062639,1.6264
line,后里~義和 紅線,凱米,Typhoon Gaemi,L,台中供電區處,1,0.0,0.1,0.0,1.0
line,后里~義和紅線,凱米,Typhoon Gaemi,L,新桃供電區處,1,0.0,0.1,0.0,1.0
line,和仁~蘇東線,凱米,Typhoon Gaemi,L,台北供電區處,3,0.67,0.1,0.005556,1.0556
line,和平~冬山白線,凱米,Typhoon Gaemi,L,台北供電區處,1,0.1,0.1,0.000833,1.0083
line,峨眉~中寮、 霧峰白線,凱米,Typhoon Gaemi,L,台中供電區處,2,26.4,0.1,0.22,3.2
line,峨眉~中寮、霧峰白線,凱米,Typhoon Gaemi,L,新桃供電區處,2,6.18,0.1,0.051528,1.5153
line,碧海~冬山線,凱米,Typhoon Gaemi,L,台北供電區處,2,12.42,0.1,0.103472,2.0347
line,立霧～花蓮線,凱米,Typhoon Gaemi,L,花東供電區處,4,21.48,0.1,0.179028,2.7903
line,通霄~三義 銅鑼線,凱米,Typhoon Gaemi,L,新桃供電區處,2,0.03,0.1,0.000278,1.0028
line,關山~富里線,凱米,Typhoon Gaemi,L,花東供電區處,1,0.02,0.1,0.000139,1.0014
line,中寮～嘉民一路,小犬,Typhoon Koinu,L,台中供電區處,2,0.0,0.1,0.0,1.0
line,中港-沙鹿線,小犬,Typhoon Koinu,L,台中供電區處,1,1.27,0.1,0.001979,1.0198
line,北港～台西線,小犬,Typhoon Koinu,L,嘉南供電區處,4,4.93,0.1,0.007708,1.0771
line,台東~知本、 加津線,小犬,Typhoon Koinu,L,花東供電區處,2,2.33,0.1,0.003646,1.0365
line,台東～東河線,小犬,Typhoon Koinu,L,花東供電區處,1,7.78,0.1,0.012161,1.1216
line,合豐光~枋山、恆春線,小犬,Typhoon Koinu,L,高屏供電區處,2,4.93,0.1,0.007708,1.0771
line,善化~善啤 得力分歧線,小犬,Typhoon Koinu,L,嘉南供電區處,1,0.05,0.1,7.8e-05,1.0008
line,大鵬～楓港海線,小犬,Typhoon Koinu,L,高屏供電區處,1,0.17,0.1,0.00026,1.0026
line,廣宇~永麒 、東石線,小犬,Typhoon Koinu,L,嘉南供電區處,1,69.87,0.1,0.109167,2.0917
line,德基～天輪南線,小犬,Typhoon Koinu,L,台中供電區處,1,0.07,0.1,0.000104,1.001
line,恆春～海博線,小犬,Typhoon Koinu,L,高屏供電區處,1,0.87,0.1,0.001354,1.0135
line,枋寮~鐵枋線,小犬,Typhoon Koinu,L,高屏供電區處,1,0.05,0.1,7.8e-05,1.0008
