disaster,district,transformer,voltage_code,fault_time,restore_time,comp_type,line_name,phase
康芮,台中供電區處,九德,S,2024-11-01 12:17:00,2024-11-01 01:38:00,transformer,,
康芮,嘉南供電區處,台西,D,2024-10-31 15:50:00,2024-10-31 23:00:00,transformer,,
凱米,高屏供電區處,楠梓,D,2024-07-24 10:35:00,2024-07-24 10:37:00,transformer,,
凱米,高屏供電區處,北嶺,D,2024-07-24 16:09:00,2024-07-24 16:09:00,transformer,,
凱米,高屏供電區處,楠梓,D,2024-07-24 10:35:00,2024-07-24 10:37:00,transformer,,
凱米,高屏供電區處,經貿,D,2024-07-24 16:21:00,2024-07-24 16:21:00,transformer,,
小犬,台東區營業處,蘭嶼,S,2023-10-04 20:38:58,2023-10-04 20:38:58,transformer,,
小犬,台東區營業處,蘭嶼,S,2023-10-04 20:39:00,2023-10-04 23:00:00,transformer,,
小犬,台東區營業處,蘭嶼,S,2023-10-04 20:48:58,2023-10-04 20:48:58,transformer,,
小犬,台東區營業處,蘭嶼,S,2023-10-05 05:26:00,2023-10-04 23:00:00,transformer,,
小犬,苗栗區營業處,錦水,S,2023-10-04 22:54:00,2023-10-04 23:00:00,transformer,,
小犬,苗栗區營業處,錦水,S,2023-10-05 07:06:00,2023-10-04 23:00:00,transformer,,
小犬,苗栗區營業處,錦水,S,2023-10-05 08:05:00,2023-10-04 23:00:00,transformer,,
小犬,嘉南供電區處,雲高,C,2023-10-05 21:13:00,2023-10-05 21:18:00,transformer,,
丹娜絲,台中供電區處,,,2025-07-07 01:21:00,2025-07-07 01:36:00,line,中寮~彌力線 ,S
丹娜絲,台中供電區處,,,2025-07-07 01:11:00,2025-07-07 06:26:00,line,天輪～龍崎海線,R
丹娜絲,台中供電區處,,,2025-07-07 23:56:00,2025-07-07 23:57:00,line,天輪～龍崎海線,R
丹娜絲,台中供電區處,,,2025-07-07 02:05:00,2025-07-07 02:09:00,line,萬大～鉅工線,T
丹娜絲,嘉南供電區處,,,2025-07-06 22:58:00,2025-07-06 22:59:00,line,大寮～新塭線,RST
丹娜絲,嘉南供電區處,,,2025-07-06 23:01:00,2025-07-06 23:59:00,line,大寮～新塭線,ST
丹娜絲,嘉南供電區處,,,2025-07-07 00:10:00,2025-07-07 00:10:00,line,天輪～龍崎海線,RST
丹娜絲,嘉南供電區處,,,2025-07-07 01:11:00,2025-07-07 01:11:00,line,天輪～龍崎海線,R
丹娜絲,嘉南供電區處,,,2025-07-07 03:31:00,2025-07-07 03:31:00,line,心忠~新營、東盟、榮剛、榮重線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:31:00,2025-07-07 00:32:00,line,北港～新港二路,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:21:00,2025-07-07 02:35:00,line,北港~澎湖、四湖一路 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:16:00,2025-07-07 00:20:00,line,台康~新營、大寮一路 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:47:00,2025-07-07 00:48:00,line,台康~新營、大寮一路 ,ST
丹娜絲,嘉南供電區處,,,2025-07-07 00:00:00,2025-07-07 00:05:00,line,田寮~新西、學甲線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:25:00,2025-07-07 00:28:00,line,秀林~中正、福隆、嘉酒、福隆二線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 01:03:00,2025-07-07 01:04:00,line,秀林~頭橋、福隆二線 ,ST
丹娜絲,嘉南供電區處,,,2025-07-06 22:39:00,2025-07-06 22:43:00,line,茂泓~永華、學甲線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:04:00,2025-07-07 00:13:00,line,曾文~白河線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 04:31:00,2025-07-07 04:31:00,line,新塭～永華線,ST
丹娜絲,嘉南供電區處,,,2025-07-06 23:14:00,2025-07-06 23:14:00,line,新營～下營二路,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:08:00,2025-07-07 00:09:00,line,新營～大寮二路,ST
丹娜絲,嘉南供電區處,,,2025-07-07 00:14:00,2025-07-07 00:15:00,line,新營～大寮二路,ST
丹娜絲,嘉南供電區處,,,2025-07-07 00:15:00,2025-07-07 00:17:00,line,新營～大寮二路,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:16:00,2025-07-07 03:28:00,line,新營～大寮二路,ST
丹娜絲,嘉南供電區處,,,2025-07-06 23:16:00,2025-07-06 23:59:00,line,新營~白河、水上線 ,RS
丹娜絲,嘉南供電區處,,,2025-07-07 00:12:00,2025-07-07 01:33:00,line,新營~白河、水上線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:07:00,2025-07-07 00:07:00,line,新營～新西線,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:07:00,2025-07-07 00:08:00,line,新營～學甲二路,RS
丹娜絲,嘉南供電區處,,,2025-07-07 03:32:00,2025-07-07 03:32:00,line,新營~營糖、營紙、史谷脫線 ,ST
丹娜絲,嘉南供電區處,,,2025-07-07 00:05:00,2025-07-07 03:17:00,line,嘉太～朴子線,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:20:00,2025-07-07 00:20:00,line,嘉民～柳營山線,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:23:00,2025-07-07 01:40:00,line,嘉民～柳營山線,RST
丹娜絲,嘉南供電區處,,,2025-07-07 01:10:00,2025-07-07 01:10:00,line,嘉民～龍崎紅線,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:41:00,2025-07-07 01:21:00,line,嘉義～三和線,RS
丹娜絲,嘉南供電區處,,,2025-07-07 00:26:00,2025-07-07 01:38:00,line,嘉義～仁愛山線,RST
丹娜絲,嘉南供電區處,,,2025-07-07 12:28:00,2025-07-07 00:30:00,line,嘉義～秀林二路,ST
丹娜絲,嘉南供電區處,,,2025-07-07 00:23:00,2025-07-07 02:56:00,line,嘉義～和睦山線,RS
丹娜絲,嘉南供電區處,,,2025-07-07 00:17:00,2025-07-07 00:17:00,line,嘉義~新營、山上白線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 02:19:00,2025-07-07 02:19:00,line,嘉義~新營、山上白線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 02:23:00,2025-07-07 02:23:00,line,嘉義~新營、山上白線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 02:25:00,2025-07-07 02:25:00,line,嘉義~新營、山上白線 ,RST
丹娜絲,嘉南供電區處,,,2025-07-07 00:17:00,2025-07-07 01:15:00,line,頭橋～嘉太線,RST
丹娜絲,高屏供電區處,,,2025-07-06 23:15:00,2025-07-06 23:59:00,line,岡山～大湖線,R
丹娜絲,高屏供電區處,,,2025-07-06 10:37:00,2025-07-06 17:00:00,line,楓港~九鵬、楓公線 ,T
康芮,台北供電區處,,,2024-10-31 19:40:00,2024-10-31 19:40:00,line,大同~四平、士林線 ,R
康芮,台北供電區處,,,2024-10-31 18:31:00,2024-10-31 20:00:00,line,仙渡~頂湖二路,R
康芮,台北供電區處,,,2024-10-31 10:16:00,2024-10-31 10:17:00,line,北投~興仁線 ,ST
康芮,台北供電區處,,,2024-10-31 19:44:00,2024-10-31 21:52:00,line,汐止～板橋白線,R
康芮,台北供電區處,,,2024-10-31 20:20:00,2024-10-31 20:20:00,line,汐止～板橋紅線,S
康芮,台北供電區處,,,2024-10-31 17:56:00,2024-10-31 17:58:00,line,和平~冬山紅線,R
康芮,台北供電區處,,,2024-10-31 01:08:00,2024-10-31 01:10:00,line,板橋~土城、耀華、同峽、介壽線 ,T
康芮,台北供電區處,,,2024-10-31 01:11:00,2024-10-31 12:00:00,line,板橋~土城、耀華、同峽、介壽線 ,T
康芮,台北供電區處,,,2024-10-31 19:18:00,2024-10-31 19:19:00,line,板橋~土城線 ,S
康芮,台北供電區處,,,2024-10-31 20:46:00,2024-10-31 20:53:00,line,板橋~中和、安康、德儀紅線 ,R
康芮,台北供電區處,,,2024-10-31 21:33:00,2024-10-31 21:43:00,line,板橋~中和、安康、德儀紅線 ,S
康芮,台北供電區處,,,2024-10-31 20:06:00,2024-10-31 22:13:00,line,南港～深坑、中研線,R
康芮,台北供電區處,,,2024-10-31 14:42:00,2024-10-31 14:47:00,line,核一～汐止白線,R
康芮,台北供電區處,,,2024-10-31 20:17:00,2024-10-31 21:22:00,line,核二～汐止四路,R
康芮,台北供電區處,,,2024-10-31 21:03:00,2024-10-31 23:00:00,line,烏來～桂山線,R
康芮,台北供電區處,,,2024-10-31 20:38:00,2024-10-31 20:39:00,line,基隆～暖暖、福祿線,R
康芮,台北供電區處,,,2024-10-31 21:25:00,2024-10-31 21:25:00,line,深坑~政大 ,T
康芮,台北供電區處,,,2024-10-31 19:59:00,2024-10-31 20:00:00,line,深美~七張一路 ,S
康芮,台北供電區處,,,2024-10-31 19:59:00,2024-10-31 20:00:00,line,深美~七張二路 ,S
康芮,台北供電區處,,,2024-10-31 21:35:00,2024-10-31 21:40:00,line,深美～冬山一路,R
康芮,台北供電區處,,,2024-10-31 21:24:00,2024-10-31 21:57:00,line,深美～冬山二路,RS
康芮,台北供電區處,,,2024-10-31 19:59:00,2024-10-31 20:16:00,line,深美~台北、南港、臥龍、義捷線 ,T
康芮,台北供電區處,,,2024-10-31 20:05:00,2024-10-31 20:05:00,line,深美～板橋白線,R
康芮,台北供電區處,,,2024-10-31 14:43:00,2024-10-31 14:49:00,line,深美～板橋紅線,R
康芮,台北供電區處,,,2024-10-31 14:45:00,2024-10-31 14:49:00,line,深美～板橋紅線,R
康芮,台北供電區處,,,2024-10-31 16:34:00,2024-10-31 16:34:00,line,深美～板橋紅線,R
康芮,台北供電區處,,,2024-10-31 16:53:00,2024-10-31 16:53:00,line,深美～板橋紅線,R
康芮,台北供電區處,,,2024-10-31 16:59:00,2024-11-01 08:03:00,line,深美～板橋紅線,R
康芮,台北供電區處,,,2024-10-31 14:23:00,2024-10-31 14:23:00,line,深美~龍潭 紅線,R
康芮,台北供電區處,,,2024-10-31 20:08:00,2024-10-31 20:49:00,line,博嘉～木柵線,T
康芮,台北供電區處,,,2024-10-31 20:08:00,2024-10-31 20:49:00,line,博嘉～深坑、木柵線,T
康芮,台北供電區處,,,2024-10-31 19:22:00,2024-11-01 13:30:00,line,陽明～興仁線,S
康芮,台北供電區處,,,2024-10-31 18:16:00,2024-11-01 18:23:00,line,瑞芳～雙溪線,R
康芮,台北供電區處,,,2024-10-31 19:40:00,2024-11-01 11:59:00,line,瑞芳～雙溪線,S
康芮,台北供電區處,,,2024-10-31 17:52:00,2024-10-31 17:53:00,line,羅東~信大、冬石、東南、新星儲線 ,R
康芮,新桃供電區處,,,2024-10-31 12:49:00,2024-10-31 23:49:00,line,中壢～六機線,RS
康芮,新桃供電區處,,,2024-10-31 18:30:00,2024-10-31 18:31:00,line,日南~廣源 中威線,R
康芮,新桃供電區處,,,2024-10-31 18:31:00,2024-10-31 19:31:00,line,仙渡~頂湖二路 ,R
康芮,新桃供電區處,,,2024-10-31 14:23:00,2024-10-31 14:24:00,line,深美~龍潭紅線 ,R
康芮,新桃供電區處,,,2024-10-31 15:42:00,2024-10-31 15:43:00,line,新竹~鐵竹白線 ,R
康芮,新桃供電區處,,,2024-10-31 15:42:00,2024-10-31 15:43:00,line,新竹~鐵竹紅線 ,R
康芮,新桃供電區處,,,2024-10-31 13:17:00,2024-10-31 13:19:00,line,福安～榮華線,R
康芮,新桃供電區處,,,2024-10-31 14:03:00,2024-10-31 14:04:00,line,福安～榮華線,R
康芮,新桃供電區處,,,2024-10-31 14:07:00,2024-10-31 14:10:00,line,福安～榮華線,R
康芮,新桃供電區處,,,2024-10-31 14:12:00,2024-10-31 15:07:00,line,福安～榮華線,R
康芮,新桃供電區處,,,2024-10-31 15:53:00,2024-10-31 15:54:00,line,福安～榮華線,R
康芮,台中供電區處,,,2024-10-31 13:32:00,2024-10-31 18:00:00,line,松林～埔里線,R
康芮,花東供電區處,,,2024-10-30 23:28:00,2024-10-30 23:32:00,line,大觀~鳳林線 ,T
康芮,花東供電區處,,,2024-10-30 23:37:00,2024-10-30 23:48:00,line,大觀~鳳林線 ,T
康芮,花東供電區處,,,2024-10-31 00:46:00,2024-10-31 00:51:00,line,大觀~鳳林線 ,T
康芮,花東供電區處,,,2024-10-31 01:20:00,2024-10-31 01:22:00,line,大觀~鳳林線 ,T
康芮,花東供電區處,,,2024-10-31 12:56:00,2024-11-01 17:00:00,line,大觀~鳳林線 ,T
康芮,花東供電區處,,,2024-10-31 11:11:00,2024-10-31 11:11:00,line,玉里～東成線,T
康芮,花東供電區處,,,2024-10-31 12:21:00,2024-10-31 12:22:00,line,玉里～東成線,T
康芮,花東供電區處,,,2024-10-31 09:30:00,2024-11-01 17:00:00,line,立霧～北埔線,R
康芮,花東供電區處,,,2024-10-31 09:29:00,2024-11-01 17:00:00,line,立霧～花蓮線,R
康芮,花東供電區處,,,2024-10-31 09:58:00,2024-11-01 17:00:00,line,明潭～鳳林線,RST
康芮,花東供電區處,,,2024-10-31 10:12:00,2024-10-31 10:12:00,line,明潭～鳳林線,T
康芮,花東供電區處,,,2024-10-31 10:41:00,2024-10-31 10:43:00,line,明潭～鳳林線,R
康芮,花東供電區處,,,2024-10-31 10:41:00,2024-10-31 10:43:00,line,明潭～鳳林線,RST
康芮,花東供電區處,,,2024-10-31 12:07:00,2024-10-31 12:07:00,line,明潭～鳳林線,T
康芮,花東供電區處,,,2024-10-31 12:35:00,2024-10-31 12:37:00,line,明潭～鳳林線,RST
康芮,花東供電區處,,,2024-10-31 09:30:00,2024-11-01 17:00:00,line,花蓮~北埔、佳山線 ,R
康芮,花東供電區處,,,2024-10-31 09:31:00,2024-11-01 17:00:00,line,花蓮~北埔、佳山線 ,S
康芮,花東供電區處,,,2024-10-31 10:19:00,2024-11-01 14:17:00,line,花蓮~北埔、佳山線 ,T
康芮,花東供電區處,,,2024-10-31 01:22:00,2024-10-31 01:55:00,line,清水～銅門線,T
康芮,花東供電區處,,,2024-10-31 02:10:00,2024-11-01 17:00:00,line,清水～銅門線,T
康芮,花東供電區處,,,2024-10-31 18:47:00,2024-11-01 17:00:00,line,清水～銅門線,T
康芮,花東供電區處,,,2024-10-31 10:30:00,2024-10-31 10:30:00,line,富里～重安線,T
康芮,花東供電區處,,,2024-10-31 11:03:00,2024-10-31 11:03:00,line,富里～重安線,T
康芮,花東供電區處,,,2024-10-31 11:07:00,2024-10-31 11:07:00,line,富里～重安線,T
康芮,花東供電區處,,,2024-10-31 11:18:00,2024-10-31 11:21:00,line,富里～重安線,T
康芮,花東供電區處,,,2024-10-31 11:29:00,2024-11-01 17:00:00,line,富里～重安線,R
康芮,花東供電區處,,,2024-10-31 14:55:00,2024-11-01 17:00:00,line,富里～重安線,T
康芮,花東供電區處,,,2024-10-31 15:42:00,2024-10-31 15:43:00,line,溪口~鳳林、生豐光線 ,S
康芮,花東供電區處,,,2024-10-31 13:20:00,2024-10-31 13:21:00,line,瑞穗～富里線,T
康芮,花東供電區處,,,2024-10-31 13:26:00,2024-11-01 17:00:00,line,瑞穗～富里線,T
康芮,花東供電區處,,,2024-10-31 13:49:00,2024-11-01 22:22:00,line,瑞穗～富里線,RS
康芮,花東供電區處,,,2024-10-31 15:16:00,2024-10-31 15:18:00,line,銅門~花蓮、榕樹 甲線,S
康芮,花東供電區處,,,2024-10-31 09:45:00,2024-11-01 17:00:00,line,銅門～溪口線,T
康芮,花東供電區處,,,2024-10-31 15:28:00,2024-10-31 15:35:00,line,銅門～溪口線,S
康芮,花東供電區處,,,2024-10-31 13:10:00,2024-10-31 13:14:00,line,鳳林~花蓮、 壽豐二路,T
康芮,花東供電區處,,,2024-10-31 14:13:00,2024-11-01 17:00:00,line,龍溪~龍澗、龍溪抽水站線 ,ST
康芮,花東供電區處,,,2024-10-31 01:22:00,2024-10-31 02:56:00,line,龍澗～花蓮乙線,R
康芮,花東供電區處,,,2024-10-31 06:08:00,2024-10-31 06:10:00,line,龍澗～花蓮乙線,R
康芮,花東供電區處,,,2024-10-31 06:35:00,2024-10-31 07:09:00,line,龍澗～花蓮乙線,T
康芮,花東供電區處,,,2024-10-31 08:22:00,2024-10-31 08:38:00,line,龍澗～花蓮乙線,T
康芮,花東供電區處,,,2024-10-31 11:59:00,2024-10-31 11:59:00,line,關山～東河線,T
康芮,花東供電區處,,,2024-10-31 12:14:00,2024-10-31 12:15:00,line,關山~富里線 ,ST
康芮,花東供電區處,,,2024-10-31 12:36:00,2024-11-01 17:00:00,line,關山~富里線 ,RS
凱米,台北供電區處,,,2024-07-24 23:50:00,2024-07-25 00:00:00,line,和仁~蘇東線 ,ST
凱米,台北供電區處,,,2024-07-24 23:51:00,2024-07-25 00:00:00,line,和仁~蘇東線 ,R
凱米,台北供電區處,,,2024-07-24 23:55:00,2024-07-25 00:16:00,line,和仁~蘇東線 ,R
凱米,台北供電區處,,,2024-07-24 23:53:00,2024-07-24 23:59:00,line,和平~冬山白線,R
凱米,台北供電區處,,,2024-07-24 23:50:00,2024-07-24 23:51:00,line,碧海~冬山線 ,R
凱米,新桃供電區處,,,2024-07-24 15:17:00,2024-07-24 15:17:00,line,后里~義和紅線 ,T
凱米,新桃供電區處,,,2024-07-24 14:18:00,2024-07-24 15:23:00,line,峨眉~中寮、霧峰白線 ,R
凱米,新桃供電區處,,,2024-07-24 15:41:00,2024-07-24 20:47:00,line,峨眉~中寮、霧峰白線 ,R
凱米,新桃供電區處,,,2024-07-24 14:34:00,2024-07-24 14:35:00,line,通霄~三義 銅鑼線,RT
凱米,新桃供電區處,,,2024-07-24 15:17:00,2024-07-24 15:18:00,line,通霄~三義 銅鑼線,RT
凱米,台中供電區處,,,2024-07-24 15:17:00,2024-07-24 15:17:00,line,后里~義和 紅線,T
凱米,台中供電區處,,,2024-07-24 14:18:00,2024-07-24 15:23:00,line,峨眉~中寮、 霧峰白線,R
凱米,台中供電區處,,,2024-07-24 15:41:00,2024-07-25 17:00:00,line,峨眉~中寮、 霧峰白線,R
凱米,嘉南供電區處,,,2024-07-24 01:29:00,2024-07-24 09:00:00,line,台南～保安線,R
凱米,花東供電區處,,,2024-07-24 17:56:00,2024-07-24 18:07:00,line,立霧～花蓮線,RS
凱米,花東供電區處,,,2024-07-24 18:40:00,2024-07-24 18:40:00,line,立霧～花蓮線,R
凱米,花東供電區處,,,2024-07-24 18:41:00,2024-07-24 18:41:00,line,立霧～花蓮線,R
凱米,花東供電區處,,,2024-07-24 18:42:00,2024-07-25 16:00:00,line,立霧～花蓮線,R
凱米,花東供電區處,,,2024-07-24 23:50:00,2024-07-25 12:14:00,line,碧海~冬山線 ,S
凱米,花東供電區處,,,2024-07-24 14:04:00,2024-07-24 14:05:00,line,關山~富里線 ,T
小犬,台中供電區處,,,2023-10-05 08:02:00,2023-10-05 09:18:00,line,中港-沙鹿線,R
小犬,台中供電區處,,,2023-10-04 15:13:00,2023-10-04 15:13:00,line,中寮～嘉民一路,T
小犬,台中供電區處,,,2023-10-05 10:09:00,2023-10-05 10:17:00,line,萬大～鉅工線,S
小犬,台中供電區處,,,2023-10-05 07:53:00,2023-10-05 07:57:00,line,德基～天輪南線,ST
小犬,台中供電區處,,,2023-10-04 23:12:00,2023-10-04 23:13:00,line,關連~玻福、玻三線 ,ST
小犬,嘉南供電區處,,,2023-10-04 15:24:00,2023-10-04 15:13:00,line,中寮～嘉民一路,T
小犬,嘉南供電區處,,,2023-10-05 05:14:00,2023-10-05 05:14:00,line,北港～台西線,T
小犬,嘉南供電區處,,,2023-10-05 05:26:00,2023-10-05 05:30:00,line,北港～台西線,T
小犬,嘉南供電區處,,,2023-10-05 06:59:00,2023-10-05 07:02:00,line,北港～台西線,T
小犬,嘉南供電區處,,,2023-10-05 07:16:00,2023-10-05 12:05:00,line,北港～台西線,T
小犬,嘉南供電區處,,,2023-10-04 23:47:00,2023-10-04 23:50:00,line,善化~善啤 得力分歧線,R
小犬,嘉南供電區處,,,2023-10-05 17:52:00,2023-10-08 15:44:00,line,廣宇~永麒 、東石線,R
小犬,高屏供電區處,,,2023-10-05 08:41:00,2023-10-05 08:51:00,line,大鵬～楓港海線,RS
小犬,高屏供電區處,,,2023-10-05 08:27:00,2023-10-05 08:29:00,line,合豐光~枋山、恆春線 ,R
小犬,高屏供電區處,,,2023-10-05 08:54:00,2023-10-05 13:48:00,line,合豐光~枋山、恆春線 ,RT
小犬,高屏供電區處,,,2023-10-05 08:27:00,2023-10-05 08:29:00,line,枋山～恆春線,R
小犬,高屏供電區處,,,2023-10-05 08:47:00,2023-10-05 08:48:00,line,枋山～恆春線,S
小犬,高屏供電區處,,,2023-10-05 10:26:00,2023-10-05 10:29:00,line,枋寮~鐵枋線 ,RST
小犬,高屏供電區處,,,2023-10-05 09:49:00,2023-10-05 10:41:00,line,恆春～海博線,RST
小犬,高屏供電區處,,,2023-10-05 07:45:00,2023-10-05 07:46:00,line,核三～大鵬二路,T
小犬,高屏供電區處,,,2023-10-05 07:54:00,2023-10-05 09:25:00,line,核三～大鵬二路,S
小犬,高屏供電區處,,,2023-10-05 09:40:00,2023-10-05 09:49:00,line,核三～大鵬二路,RS
小犬,高屏供電區處,,,2023-10-05 09:54:00,2023-10-05 09:55:00,line,核三～大鵬三路,RS
小犬,高屏供電區處,,,2023-10-05 07:01:00,2023-10-05 07:04:00,line,核三～楓港線,R
小犬,高屏供電區處,,,2023-10-05 07:58:00,2023-10-05 14:55:00,line,核三～楓港線,T
小犬,高屏供電區處,,,2023-10-05 09:22:00,2023-10-05 09:23:00,line,核三～瀰力線,T
小犬,高屏供電區處,,,2023-10-05 04:54:00,2023-10-05 16:30:00,line,楓港~九鵬、楓公線 ,RST
小犬,高屏供電區處,,,2023-10-05 08:43:00,2023-10-05 08:47:00,line,楓港～枋山線,S
小犬,高屏供電區處,,,2023-10-05 07:43:00,2023-10-05 08:33:00,line,楓港～墾丁線,ST
小犬,花東供電區處,,,2023-10-05 12:13:00,2023-10-05 20:00:00,line,台東～東河線,R
小犬,花東供電區處,,,2023-10-05 05:43:00,2023-10-05 06:03:00,line,台東~知本、 加津線,ST
小犬,花東供電區處,,,2023-10-05 06:06:00,2023-10-05 08:06:00,line,台東~知本、 加津線,R
