comp_type,comp_name,voltage_code,max_hf,sum_storm_lambda,base_lambda,n_disasters,total_outage_hr,disasters,composite_hf
line,花蓮~北埔、佳山線,L,8.5792,0.757917,0.1,1,90.95,康芮,8.5792
line,茂泓~永華、學甲線,L,1.0028,0.000278,0.1,1,0.07,丹娜絲,1.0028
line,萬大～鉅工線,L,1.0028,0.000486,0.1,2,0.2,"丹娜絲, 小犬",1.0049
line,通霄~三義 銅鑼線,L,1.0028,0.000278,0.1,1,0.03,凱米,1.0028
line,銅門~花蓮、榕樹 甲線,L,1.0028,0.000278,0.1,1,0.03,康芮,1.0028
line,銅門～溪口線,L,3.6139,0.261389,0.1,1,31.37,康芮,3.6139
line,關山~富里線,L,3.3681,0.236945,0.1,2,28.44,"凱米, 康芮",3.3694
line,關山～東河線,L,1.0,0.0,0.1,1,0.0,康芮,1.0
line,關連~玻福、玻三線,L,1.0003,2.6e-05,0.1,1,0.02,小犬,1.0003
line,陽明～興仁線,L,2.5111,0.151111,0.1,1,18.13,康芮,2.5111
line,頭橋～嘉太線,L,1.0403,0.004028,0.1,1,0.97,丹娜絲,1.0403
line,鳳林~花蓮、 壽豐二路,L,1.0056,0.000556,0.1,1,0.07,康芮,1.0056
line,龍溪~龍澗、龍溪抽水站線,L,3.2319,0.223194,0.1,1,26.78,康芮,3.2319
line,龍澗～花蓮乙線,L,1.2028,0.020278,0.1,1,2.43,康芮,1.2028
transformer,九德,S,1.4764,0.01191,0.025,1,5.72,康芮,1.4764
transformer,初英,G,1.7097,0.010646,0.015,1,8.52,康芮,1.7097
transformer,勝安,D,1.6778,0.033889,0.05,1,8.13,康芮,1.6778
transformer,北嶺,D,1.0,0.0,0.05,1,0.0,凱米,1.0
transformer,博愛,S,2.6278,0.040694,0.025,1,39.07,丹娜絲,2.6278
transformer,台西,D,1.5972,0.029861,0.05,1,7.17,康芮,1.5972
transformer,和睦,S,2.6146,0.040365,0.025,1,38.75,丹娜絲,2.6146
transformer,嘉埔,S,2.6528,0.041319,0.025,1,39.67,丹娜絲,2.6528
transformer,奮起,S,1.6535,0.016337,0.025,1,15.68,丹娜絲,1.6535
transformer,富里,S,1.3319,0.008299,0.025,1,3.98,康芮,1.332
transformer,新塭,S,2.891,0.047274,0.025,1,45.38,丹娜絲,2.891
transformer,楠梓,D,1.0056,0.000278,0.05,1,0.07,凱米,1.0056
transformer,溪口,G,1.5903,0.008854,0.015,1,7.08,康芮,1.5903
transformer,烏來,S,4.5917,0.089792,0.025,1,43.1,康芮,4.5917
transformer,立霧,G,1.6125,0.009187,0.015,1,7.35,康芮,1.6125
transformer,經貿,D,1.0,0.0,0.05,1,0.0,凱米,1.0
transformer,美崙,S,1.6806,0.017014,0.025,1,8.17,康芮,1.6806
transformer,義竹,D,2.6035,0.080174,0.05,1,38.48,丹娜絲,2.6035
transformer,花市,S,1.7944,0.019861,0.025,1,9.53,康芮,1.7944
transformer,花港,S,1.7819,0.019549,0.025,1,9.38,康芮,1.782
transformer,花蓮,P,1.6847,0.010271,0.015,1,8.22,康芮,1.6847
transformer,蘭嶼,S,1.0367,0.000918,0.025,1,2.35,小犬,1.0367
transformer,錦水,S,1.0016,3.9e-05,0.025,1,0.1,小犬,1.0016
transformer,雲高,C,1.0013,4.6e-05,0.035,1,0.08,小犬,1.0013
