bus_i,name,base_kv,ide,area,zone,vm,va
9820,奇美實CG,161.0,1,3,22,1.00772,-12.1326
9821,奇美實L,69.0,1,3,22,1.00676,-11.2532
9822,奇美實G,13.8,2,3,103,1.00525,-8.1175
9823,永資CG,161.0,1,3,22,1.01318,-10.1909
9824,永康焚G1,11.4,2,3,103,1.01327,-5.8578
9860,塑仁CG,161.0,1,3,25,1.00815,-16.5382
9861,塑仁T1,22.0,1,3,25,1.0011,-16.5382
9862,塑仁T2,22.0,1,3,25,1.00815,-16.5382
9863,塑仁T3,69.0,1,3,25,1.00816,-16.504
9864,塑仁T4,69.0,1,3,25,1.00816,-16.504
9865,塑仁TG1,11.0,2,3,103,1.0011,-16.5382
9866,塑仁T5,11.0,1,3,25,1.18981,-16.5382
9867,塑DG1-3,6.6,2,3,103,1.00815,-16.5382
9868,塑DG4-7,6.6,2,3,103,1.00815,-16.5382
9869,塑仁TG4,11.0,2,3,103,1.00818,-16.4632
9870,塑仁TG5,11.0,2,3,103,1.00818,-16.4632
9871,塑仁TG3,11.0,2,3,103,1.00815,-16.5382
9872,岡資CG,161.0,2,3,103,1.00294,-10.4319
9900,塑園CG,161.0,1,3,33,1.01669,-11.1594
9901,塑園G,161.0,2,3,103,1.01669,-11.1594
9902,中園CG,161.0,1,3,33,1.01679,-11.1599
9903,中園G,161.0,2,3,103,1.01679,-11.1599
9904,坪資CG,161.0,1,3,33,1.00547,-13.0298
9905,坪資G,161.0,2,3,103,1.00547,-13.0295
9906,油高CG,161.0,1,3,33,1.0171,-10.9793
9907,油高G,161.0,2,3,103,1.0171,-10.9793
9910,鋼一CG,161.0,1,3,33,1.00693,-13.9236
9911,中鋼一,33.0,1,3,33,1.00693,-13.9236
9912,中鋼一,33.0,1,3,33,1.00693,-13.9236
9913,中鋼一,33.0,1,3,33,1.00693,-13.9236
9914,中鋼一,33.0,1,3,33,1.00693,-13.9236
9915,中鋼一,33.0,1,3,33,1.00693,-13.9236
9916,鋼一TG1,11.5,2,3,103,1.00693,-13.9236
9917,鋼一TRT2,11.5,2,3,103,1.00693,-13.9236
9918,鋼一TG2,11.5,2,3,103,1.00693,-13.9236
9919,鋼一TG3,11.5,2,3,103,1.00693,-13.9236
9920,鋼一TRT3,11.5,2,3,103,1.00693,-13.9236
9921,鋼一TG5,11.5,2,3,103,1.00693,-13.9236
9922,鋼二CG,161.0,1,3,33,1.0066,-13.7549
9923,中鋼二,33.0,1,3,33,1.0066,-13.7549
9924,中鋼二,33.0,1,3,33,1.0066,-13.7549
9925,鋼新CG,161.0,1,3,33,1.0066,-13.7549
9926,鋼二TG7,11.5,2,3,103,1.0066,-13.7549
9927,鋼二TG4,11.5,2,3,103,1.0066,-13.7549
9928,鋼二TRT1,11.5,2,3,103,1.0066,-13.7549
9929,鋼二TG6,11.5,2,3,103,1.0066,-13.7549
9930,鋼二CDQ,11.0,2,3,103,1.0066,-13.7549
9931,鋼二TRT4,11.5,2,3,103,1.0066,-13.7549
9932,鋼三CG,161.0,1,3,33,1.00689,-13.9116
9933,中鋼三,33.0,1,3,33,1.00689,-13.9116
9934,中鋼三,33.0,1,3,33,1.00689,-13.9116
9935,鋼三TG8,11.0,2,3,103,1.00689,-13.9116
9936,鋼四CG,161.0,1,3,33,1.00686,-13.9064
10513,中火風D,23.9,2,2,15,1.00643,-14.621
10652,通霄甲風L,69.0,2,2,10,1.0063,-20.1261
13142,八堵風L,69.0,2,1,102,0.99996,-42.734
13352,觀音風#2L,69.0,2,1,102,0.99499,-29.0128
13372,梅湖風#1L,69.0,2,1,102,0.99666,-29.6567
13422,南湖風L,69.0,2,2,104,0.99699,-25.6514
13532,中清風L,69.0,2,2,104,1.00278,-25.9379
13694,馬公風L,69.0,2,3,103,0.99351,-5.4285
13702,北港風L,69.0,2,3,103,0.99729,-3.0959
13923,墾丁風D,23.9,2,3,103,0.99913,-10.9433
15024,山佳風D,23.9,2,2,104,0.99945,-29.4649
20233,林口光D2,23.9,2,1,102,0.99516,-34.1262
20513,中火光D1,23.9,2,2,104,1.00643,-14.621
20652,通霄甲光L,69.0,2,2,104,1.0063,-20.1261
20805,天輪光D,13.8,2,2,104,0.95,-16.2564
20822,谷關光D,1.0,2,2,104,1.00132,-18.0316
20834,青山光D,13.8,2,2,104,0.96304,-18.1019
20844,德基光D,23.9,2,2,104,1.00203,-18.063
20853,鉅工光D,23.9,2,2,104,0.99682,-15.3146
20872,萬大光L,69.0,2,2,104,1.01749,-14.2254
20883,卓蘭光D,23.9,2,2,104,1.00128,-22.5712
21085,興達光D,4.2,2,3,103,1.01681,-5.303
21123,大林丙光D,23.9,2,3,103,1.00246,-12.5104
21583,仙渡光D1,23.9,2,1,102,0.99393,-34.8073
21593,仙渡光D2,23.9,2,1,102,0.99897,-39.6575
21663,深美光D2,23.9,2,1,102,0.9944,-39.0965
21752,頂湖光L,69.0,2,1,102,0.97938,-36.1906
