bus_i,id,status,pl_mw,ql_mvar
8195,1,1,21.863,35.733
8200,1,1,42.796,13.023
8203,1,1,0.306,30.891
8204,1,1,-0.304,3.687
8206,1,1,12.459,4.011
8207,1,1,0.01,12.336
8208,1,1,3.43,0.696
8209,1,1,2.938,-3.87
8210,1,1,40.609,14.162
8211,1,1,46.478,0.841
8212,1,1,46.478,0.841
8213,1,1,16.8,3.411
8215,1,1,40.609,14.162
8216,1,1,12.459,4.011
8217,1,1,40.609,14.162
8220,1,0,80.36,20.72
8221,1,1,6.869,0.012
8222,1,1,28.501,8.891
8223,1,1,14.0,2.843
8230,1,1,0.0,11.712
8231,1,1,0.0,2.451
8232,1,1,44.8,9.097
8240,1,1,4.525,1.706
8241,1,1,9.292,1.744
8242,1,1,25.707,5.986
8244,1,1,42.846,13.256
8245,1,1,3.947,1.225
8250,1,1,4.525,1.706
8251,1,1,0.304,-1.057
8252,1,1,11.842,2.954
8253,1,1,0.304,-1.057
8255,1,1,69.492,4.523
8256,1,1,69.492,4.523
8260,1,1,3.279,0.08
8270,1,1,33.402,11.756
8278,1,1,45.632,6.06
8279,1,1,69.549,21.656
8280,1,1,33.881,11.258
8281,1,1,28.501,8.891
8282,1,1,28.543,6.55
8300,1,1,4.533,3.572
8301,1,1,4.533,3.572
8302,1,1,44.79,37.721
8304,1,1,74.235,21.99
8305,1,1,71.12,11.5
8306,1,1,29.736,7.89
8307,1,1,29.736,7.89
8308,1,1,74.235,21.99
8309,1,1,34.479,-3.182
8310,1,1,3.223,-1.62
8311,1,1,34.479,-3.182
8312,1,1,71.12,11.5
8313,1,1,29.736,7.89
8314,1,1,74.235,21.99
8315,1,1,34.479,-3.182
8316,1,1,4.533,3.572
8319,1,1,60.2,5.02
8320,1,1,40.91,12.427
8323,1,1,38.5,11.09
8324,1,1,42.0,8.528
8326,1,1,93.103,17.017
8327,1,1,93.103,17.017
8329,1,1,40.91,12.427
8331,1,1,57.086,16.019
8332,1,1,40.91,12.427
8333,1,1,29.736,7.89
8334,1,1,60.018,14.692
8335,1,1,34.479,-3.182
8336,1,1,13.122,7.791
8337,1,1,60.018,14.692
8338,1,1,60.018,14.692
8339,1,1,34.479,-3.182
8340,1,1,38.5,11.09
8341,1,1,46.026,8.019
8342,1,1,46.026,8.019
8353,1,1,78.54,20.225
8354,1,1,128.8,26.154
8355,1,1,78.54,20.225
8359,1,1,29.736,7.89
8360,1,1,11.97,1.152
8361,1,1,10.099,-17.051
8362,1,1,13.122,7.791
8364,1,1,2.195,2.602
8365,1,1,88.168,28.293
8366,1,1,10.099,-17.051
8367,1,1,0.0,-0.2
8368,1,1,145.362,40.13
8369,1,1,29.267,7.813
8370,1,1,29.267,7.813
8371,1,1,112.503,35.368
8372,1,1,112.503,35.368
8373,1,1,135.296,39.286
8374,1,1,1.501,-1.751
8375,1,1,135.296,39.286
8376,1,1,135.296,39.286
8377,1,1,25.581,9.051
8378,1,1,25.581,9.051
8379,1,1,85.194,22.893
8380,1,1,85.194,22.893
8381,1,1,29.267,7.813
8382,1,1,29.267,7.813
8383,1,1,29.267,7.813
8400,1,1,0.0,6.201
8401,1,1,6.323,16.381
8403,1,1,6.323,16.381
8404,1,1,-0.002,7.493
8405,1,1,6.323,16.381
8406,1,1,6.323,16.381
8407,1,1,1.451,-0.174
8408,1,1,-0.002,7.493
8409,1,1,1.451,-0.174
8410,1,1,22.4,4.549
8420,1,1,90.562,1.034
8427,1,1,29.493,9.925
8431,1,1,90.562,1.034
8440,1,1,68.935,-2.369
8445,1,1,27.633,8.174
8450,1,1,0.0,12.38
8491,1,1,21.0,4.264
8492,1,1,10.378,2.455
8493,1,1,14.208,3.096
8494,1,1,4.188,9.852
8495,1,1,37.213,12.31
8496,1,1,37.213,12.31
8497,1,1,10.378,2.455
8501,1,1,47.346,17.042
8503,1,1,8.045,-25.645
8507,1,1,8.045,-25.645
8512,1,1,0.0,0.0
8526,1,1,46.35,-6.92
8528,1,1,13.44,4.8
8529,1,1,66.117,1.642
8530,1,1,66.117,1.642
8531,1,1,66.117,1.642
8532,1,1,96.743,0.803
8533,1,1,96.743,0.803
8534,1,1,127.603,-11.166
8535,1,1,56.566,16.942
8536,1,1,56.566,16.942
8537,1,1,56.566,16.942
8539,1,1,9.087,2.797
8540,1,1,32.989,7.52
8541,1,1,46.35,-6.92
8542,1,1,36.87,12.702
8543,1,1,36.87,12.702
