bus_i,modsw,adjm,status,vswhi,vswlo,swrem,rmpct,binit_mvar
3352,0,0,1,1.02,0.985,3341,100.0,0.0
3361,0,0,1,1.025,0.9938,0,100.0,0.0
3362,0,0,1,1.02,0.985,3361,100.0,0.0
3363,0,0,1,1.02,0.985,3361,100.0,24.0
3364,0,0,1,1.02,0.985,3361,100.0,0.0
3372,0,0,1,1.02,0.985,3371,100.0,0.0
3374,0,0,1,1.02,0.985,3371,100.0,0.0
3392,0,0,1,1.02,0.985,3391,100.0,0.0
3393,0,0,1,1.02,0.985,3391,100.0,0.0
3394,0,0,1,1.02,0.985,3391,100.0,0.0
3412,0,0,1,1.02,0.985,3411,100.0,0.0
3413,0,0,1,1.02,0.985,3411,100.0,0.0
3422,0,0,1,1.02,0.985,3421,100.0,0.0
3443,0,0,1,1.02,0.985,3441,100.0,0.0
3451,0,0,1,1.025,0.9938,0,100.0,-80.0
3452,0,0,1,1.02,0.985,3451,100.0,0.0
3453,0,0,1,1.02,0.985,3451,100.0,0.0
3472,0,0,1,1.02,0.985,3471,100.0,0.0
3483,0,0,1,1.02,0.985,3481,100.0,0.0
3521,0,0,1,1.025,0.9938,0,100.0,0.0
3522,0,0,1,1.02,0.985,3521,100.0,0.0
3523,0,0,1,1.02,0.985,3521,100.0,0.0
3532,0,0,1,1.02,0.985,3531,100.0,0.0
3552,0,0,1,1.02,0.985,3551,100.0,0.0
3553,0,0,1,1.02,0.985,3551,100.0,0.0
3661,0,0,1,1.025,0.9938,0,100.0,-160.0
3662,0,0,1,1.02,0.985,3661,100.0,0.0
3663,0,0,1,1.02,0.985,3661,100.0,0.0
3672,0,0,1,1.02,0.985,3671,100.0,0.0
3673,0,0,1,1.02,0.985,3671,100.0,0.0
3682,0,0,1,1.02,0.985,3681,100.0,0.0
3683,0,0,1,1.02,0.985,3681,100.0,0.0
3691,0,0,1,1.025,0.9938,0,100.0,-40.0
3701,0,0,1,1.025,0.9938,0,100.0,-120.0
3702,0,0,1,1.02,0.985,3701,100.0,0.0
3722,0,0,1,1.02,0.985,3721,100.0,0.0
3723,0,0,1,1.02,0.985,3721,100.0,0.0
3732,0,0,1,1.02,0.985,3731,100.0,0.0
3733,0,0,1,1.02,0.985,3731,100.0,0.0
3762,0,0,1,1.02,0.985,3761,100.0,0.0
3763,0,0,1,1.02,0.985,3761,100.0,0.0
3792,0,0,1,1.02,0.985,3791,100.0,0.0
3793,0,0,1,1.02,0.985,3791,100.0,0.0
3812,0,0,1,1.02,0.985,3811,100.0,0.0
3813,0,0,1,1.02,0.985,3811,100.0,0.0
3882,0,0,1,1.02,0.985,3881,100.0,0.0
3892,0,0,1,1.02,0.985,3891,100.0,0.0
3903,0,0,1,1.02,0.985,3901,100.0,0.0
3923,0,0,1,1.02,0.985,3921,100.0,0.0
3932,0,0,1,1.02,0.985,3931,100.0,0.0
3952,0,0,1,1.02,0.985,3951,100.0,0.0
3953,0,0,1,1.02,0.985,3951,100.0,0.0
3971,0,0,1,1.025,0.9938,0,100.0,-120.0
3972,0,0,1,1.02,0.985,3971,100.0,0.0
3973,0,0,1,1.02,0.985,3971,100.0,0.0
4002,0,0,1,1.02,0.985,4001,100.0,0.0
4012,0,0,1,1.02,0.985,4011,100.0,0.0
4015,0,0,1,1.025,0.9938,0,100.0,-80.0
4016,0,0,1,1.02,0.985,4015,100.0,0.0
4026,0,0,1,1.02,0.985,4025,100.0,0.0
4027,0,0,1,1.025,0.9938,0,100.0,0.0
4028,0,0,1,1.02,0.985,4027,100.0,0.0
4030,0,0,1,1.02,0.985,4029,100.0,0.0
4048,0,0,1,1.02,0.985,4047,100.0,0.0
4108,0,0,1,1.02,0.985,4107,100.0,54.0
4110,0,0,1,1.02,0.985,4109,100.0,0.0
4112,0,0,1,1.02,0.985,4111,100.0,0.0
4114,0,0,1,1.02,0.985,4113,100.0,0.0
4116,0,0,1,1.02,0.985,4115,100.0,0.0
4118,0,0,1,1.02,0.985,4117,100.0,0.0
4128,0,0,1,1.02,0.985,4127,100.0,0.0
4140,0,0,1,1.02,0.985,4139,100.0,0.0
4142,0,0,1,1.025,0.985,4141,100.0,0.0
4144,0,0,1,1.02,0.985,4143,100.0,0.0
4147,0,0,1,1.025,0.9938,0,100.0,0.0
4148,0,0,0,1.02,0.985,4147,100.0,0.0
4162,0,0,1,1.02,0.985,4161,100.0,0.0
4204,0,0,1,1.02,0.985,4203,100.0,36.0
4208,0,0,1,1.02,0.985,4207,100.0,0.0
4214,0,0,1,1.02,0.985,4213,100.0,0.0
4256,0,0,1,1.02,0.985,4255,100.0,0.0
4258,0,0,1,1.02,0.985,4257,100.0,18.0
4260,0,0,1,1.02,0.985,4259,100.0,0.0
4264,0,0,1,1.02,0.985,4263,100.0,0.0
4266,0,0,1,1.02,0.985,4265,100.0,0.0
4270,0,0,1,1.02,0.985,4269,100.0,54.0
4276,0,0,1,1.02,0.985,4275,100.0,72.0
4302,0,0,1,1.02,0.985,4301,100.0,0.0
4306,0,0,1,1.02,0.985,4305,100.0,0.0
4308,0,0,1,1.02,0.985,4307,100.0,0.0
4310,0,0,1,1.02,0.985,4309,100.0,0.0
4311,0,0,1,1.025,0.9938,0,100.0,0.0
4314,0,0,1,1.02,0.985,4313,100.0,0.0
4352,0,0,1,1.02,0.985,4351,100.0,0.0
4354,0,0,1,1.02,0.985,4353,100.0,0.0
4358,0,0,1,1.02,0.985,4357,100.0,0.0
4360,0,0,1,1.02,0.985,4359,100.0,0.0
4362,0,0,1,1.02,0.985,4361,100.0,0.0
4402,0,0,1,1.02,0.985,4401,100.0,0.0
4404,0,0,1,1.02,0.985,4403,100.0,0.0
4410,0,0,1,1.02,0.985,4409,100.0,0.0
4412,0,0,1,1.02,0.985,4411,100.0,0.0
4426,0,0,1,1.02,0.985,4425,100.0,72.0
4437,0,0,1,1.025,0.9938,0,100.0,0.0
4438,0,0,1,1.02,0.985,4437,100.0,24.0
4506,0,0,1,1.02,0.985,4505,100.0,36.0
4508,0,0,1,1.02,0.985,4507,100.0,36.0
4514,0,0,1,1.02,0.985,4513,100.0,48.0
4528,0,0,1,1.02,0.985,4527,100.0,18.0
4552,0,0,1,1.02,0.985,4551,100.0,30.0
4554,0,0,1,1.02,0.985,4553,100.0,0.0
4558,0,0,1,1.02,0.985,4557,100.0,0.0
4560,0,0,1,1.02,0.985,4559,100.0,0.0
4564,0,0,1,1.02,0.985,4563,100.0,0.0
4568,0,0,1,1.02,0.985,4567,100.0,0.0
4574,0,0,1,1.02,0.985,4573,100.0,0.0
4576,0,0,1,1.02,0.985,4575,100.0,0.0
4584,0,0,1,1.02,0.985,4583,100.0,24.0
4602,0,0,1,1.02,0.985,4601,100.0,6.0
4604,0,0,1,1.02,0.985,4603,100.0,0.0
4608,0,0,1,1.02,0.985,4607,100.0,42.0
4612,0,0,1,1.02,0.985,4611,100.0,0.0
4614,0,0,1,1.02,0.985,4613,100.0,36.0
4618,0,0,1,1.02,0.985,4617,100.0,36.0
4626,0,0,1,1.02,0.985,4625,100.0,0.0
4628,0,0,1,1.02,0.985,4627,100.0,0.0
4630,0,0,1,1.02,0.985,4629,100.0,24.0
4636,0,0,1,1.02,0.985,4635,100.0,24.0
4638,0,0,1,1.02,0.985,4637,100.0,0.0
4640,0,0,1,1.02,0.985,4639,100.0,0.0
4650,0,0,1,1.02,0.985,4649,100.0,0.0
4651,0,0,1,1.025,0.9938,0,100.0,0.0
4652,0,0,1,1.02,0.985,4651,100.0,0.0
4701,0,0,1,1.025,0.9938,0,100.0,0.0
4702,0,0,1,1.02,0.985,4701,100.0,0.0
4704,0,0,1,1.02,0.985,4703,100.0,0.0
4706,0,0,1,1.02,0.985,4705,100.0,0.0
4710,0,0,1,1.02,0.985,4709,100.0,0.0
4711,0,0,1,1.025,0.985,0,100.0,0.0
4712,0,0,1,1.02,0.985,4711,100.0,0.0
4713,0,0,1,1.025,0.9938,0,100.0,0.0
4714,0,0,1,1.02,0.985,4713,100.0,0.0
4716,0,0,1,1.02,0.985,4715,100.0,0.0
4752,0,0,1,1.02,0.985,4751,100.0,0.0
4754,0,0,1,1.02,0.985,4753,100.0,0.0
4756,0,0,1,1.02,0.985,4755,100.0,0.0
4758,0,0,1,1.02,0.985,4757,100.0,0.0
4760,0,0,1,1.02,0.985,4759,100.0,0.0
4763,0,0,1,1.025,0.9938,0,100.0,0.0
4764,0,0,1,1.02,0.985,4763,100.0,0.0
4802,0,0,1,1.02,0.985,4801,100.0,24.0
4806,0,0,1,1.02,0.985,4805,100.0,36.0
4812,0,0,1,1.02,0.985,4811,100.0,0.0
4814,0,0,1,1.02,0.985,4813,100.0,12.0
4816,0,0,1,1.02,0.985,4815,100.0,0.0
4818,0,0,1,1.02,0.985,4817,100.0,0.0
4820,0,0,1,1.02,0.985,4819,100.0,12.0
4822,0,0,1,1.02,0.985,4821,100.0,0.0
4824,0,0,1,1.02,0.985,4823,100.0,30.0
4840,0,0,1,1.02,0.985,4839,100.0,0.0
4902,0,0,1,1.02,0.985,4901,100.0,42.0
4904,0,0,1,1.02,0.985,4903,100.0,0.0
4908,0,0,1,1.02,0.985,4907,100.0,27.0
4910,0,0,1,1.02,0.985,4909,100.0,24.0
4922,0,0,1,1.02,0.985,4921,100.0,0.0
4990,0,0,1,1.02,0.985,4989,100.0,0.0
4992,0,0,1,1.02,0.985,4991,100.0,0.0
4994,0,0,1,1.02,0.985,4993,100.0,0.0
4996,0,0,1,1.02,0.985,4995,100.0,0.0
4998,0,0,1,1.02,0.985,4997,100.0,0.0
5000,0,0,1,1.02,0.985,4999,100.0,0.0
5004,0,0,1,1.02,0.985,5003,100.0,0.0
5006,0,0,1,1.02,0.985,5005,100.0,0.0
5014,0,0,1,1.02,0.985,5013,100.0,0.0
5018,0,0,1,1.02,0.985,5017,100.0,0.0
5022,0,0,1,1.02,0.985,5021,100.0,0.0
5024,0,0,1,1.02,0.985,5023,100.0,0.0
5026,0,0,1,1.02,0.985,5025,100.0,0.0
5028,0,0,1,1.02,0.985,5027,100.0,0.0
5056,0,0,1,1.02,0.985,5055,100.0,0.0
5079,0,0,1,1.025,0.9938,0,100.0,0.0
5080,0,0,1,1.02,0.985,5079,100.0,0.0
5092,0,0,1,1.02,0.985,5091,100.0,0.0
5098,0,0,1,1.02,0.985,5097,100.0,0.0
5108,0,0,1,1.02,0.985,5107,100.0,0.0
5502,0,0,1,1.02,0.985,5501,100.0,0.0
5503,0,0,1,1.025,0.9938,0,100.0,-80.0
5504,0,0,1,1.02,0.985,5503,100.0,0.0
5506,0,0,1,1.02,0.985,5505,100.0,0.0
5522,0,0,1,1.02,0.985,5521,100.0,0.0
5524,0,0,1,1.02,0.985,5523,100.0,0.0
5525,0,0,1,1.025,0.9938,0,100.0,0.0
5526,0,0,1,1.02,0.985,5525,100.0,0.0
5530,0,0,1,1.02,0.985,5529,100.0,0.0
5537,0,0,1,1.025,0.9938,0,100.0,0.0
5538,0,0,1,1.02,0.985,5537,100.0,0.0
5542,0,0,1,1.02,0.985,5541,100.0,0.0
5546,0,0,1,1.02,0.985,5545,100.0,0.0
5602,0,0,1,1.02,0.985,5601,100.0,0.0
5604,0,0,1,1.02,0.985,5603,100.0,0.0
5606,0,0,1,1.02,0.985,5605,100.0,0.0
5610,0,0,1,1.02,0.985,5609,100.0,0.0
5612,0,0,1,1.02,0.985,5611,100.0,12.0
5616,0,0,1,1.02,0.985,5615,100.0,36.0
5618,0,0,1,1.02,0.985,5617,100.0,0.0
5626,0,0,1,1.02,0.985,5625,100.0,0.0
5628,0,0,1,1.02,0.985,5627,100.0,0.0
5638,0,0,1,1.02,0.985,5637,100.0,0.0
5644,0,0,1,1.02,0.985,5643,100.0,36.0
5648,0,0,1,1.02,0.985,5647,100.0,0.0
5652,0,0,1,1.02,0.985,5651,100.0,0.0
5654,0,0,1,1.02,0.985,5653,100.0,0.0
5656,0,0,1,1.02,0.985,5655,100.0,0.0
5658,0,0,1,1.02,0.985,5657,100.0,0.0
5660,0,0,1,1.02,0.985,5659,100.0,0.0
5664,0,0,1,1.02,0.985,5663,100.0,0.0
5666,0,0,1,1.02,0.985,5665,100.0,0.0
5668,0,0,1,1.02,0.985,5667,100.0,0.0
5670,0,0,1,1.02,0.985,5669,100.0,0.0
5672,0,0,1,1.02,0.985,5671,100.0,0.0
5682,0,0,1,1.02,0.985,5681,100.0,0.0
5684,0,0,1,1.02,0.985,5683,100.0,0.0
5686,0,0,1,1.02,0.985,5685,100.0,0.0
5694,0,0,1,1.02,0.985,5693,100.0,0.0
5777,0,0,1,1.025,0.9938,0,100.0,0.0
5778,0,0,1,1.02,0.985,5777,100.0,0.0
5787,0,0,1,1.025,0.9938,0,100.0,0.0
5788,0,0,1,1.02,0.985,5787,100.0,54.0
5790,0,0,1,1.02,0.985,5789,100.0,0.0
5802,0,0,1,1.02,0.985,5801,100.0,0.0
5810,0,0,1,1.02,0.985,5809,100.0,0.0
5812,0,0,1,1.02,0.985,5811,100.0,0.0
5818,0,0,1,1.02,0.985,5817,100.0,0.0
5820,0,0,1,1.02,0.985,5819,100.0,0.0
5822,0,0,1,1.025,0.9938,0,100.0,-160.0
5824,0,0,1,1.025,0.985,0,100.0,-160.0
5842,0,0,1,1.02,0.985,5841,100.0,0.0
5845,0,0,1,1.025,0.9938,0,100.0,-80.0
