from_bus,to_bus,k_bus,ckt,name,status,r12_pu,x12_pu,sbase12_mva,windv1,nomv1,ang1_deg,rata1_mva,ratb1_mva,ratc1_mva,windv2,nomv2
530,556,0,S,台中新ST.T2                             ,1,0.0005,0.042,540.0,1.0,345.0,0.0,540.0,0.0,0.0,0.975,26.0
540,535,0,1,中火M.T5                                ,1,0.00012,0.0236,650.0,1.0,345.0,0.0,650.0,650.0,0.0,0.95,21.5
540,536,0,1,中火M.T6                                ,1,0.0005,0.025,728.0,1.0,345.0,0.0,728.0,728.0,0.0,0.95,21.5
540,537,0,1,中火M.T7                                ,1,0.00012,0.0236,650.0,1.0,345.0,0.0,650.0,650.0,0.0,0.95,21.5
540,538,0,1,中火M.T8                                ,1,0.00012,0.0236,650.0,1.0,345.0,0.0,650.0,650.0,0.0,0.95,21.5
90530,539,0,1,中火M.T9                                ,1,0.00048,0.02186,650.0,1.0,345.0,0.0,650.0,650.0,0.0,0.95,19.0
90540,541,0,1,中火M.T10                               ,1,0.00037,0.02263,650.0,1.0,345.0,0.0,650.0,650.0,0.0,0.95,19.0
550,551,0,1,台中新GT.T11                            ,1,0.0005,0.042,540.0,1.0,345.0,0.0,540.0,0.0,0.0,0.975,26.0
550,552,0,1,台中新GT.T12                            ,1,0.0005,0.0421,540.0,1.0,345.0,0.0,540.0,0.0,0.0,0.975,26.0
550,553,0,1,台中新ST.T1                             ,1,0.0005,0.0423,540.0,1.0,345.0,0.0,540.0,0.0,0.0,0.975,26.0
660,590,0,1,通霄新G.T3-1                            ,1,0.00068,0.05767,395.0,1.0,345.0,0.0,395.0,0.0,0.0,0.975,20.0
660,591,0,2,通霄新G.T3-2                            ,1,0.00068,0.05777,395.0,1.0,345.0,0.0,395.0,0.0,0.0,0.975,20.0
660,592,0,S,通霄新M.ST3                             ,1,0.00067,0.05752,376.0,1.0,345.0,0.0,376.0,0.0,0.0,0.975,20.0
650,593,0,1,通霄新G.T2-1                            ,1,0.00069,0.0582,395.0,1.0,345.0,0.0,395.0,0.0,0.0,0.975,20.0
650,594,0,2,通霄新G.T2-2                            ,1,0.00068,0.05779,395.0,1.0,345.0,0.0,395.0,0.0,0.0,0.975,20.0
650,595,0,S,通霄新M.ST2                             ,1,0.00067,0.05763,376.0,1.0,345.0,0.0,376.0,0.0,0.0,0.975,20.0
650,596,0,1,通霄新G.T1-1                            ,1,0.000632911,0.0579458,395.0,1.0,345.0,0.0,395.0,0.0,0.0,0.975,20.0
650,597,0,2,通霄新G.T1-2                            ,1,0.000683544,0.0577934,395.0,1.0,345.0,0.0,395.0,0.0,0.0,0.975,20.0
650,598,0,S,通霄新M.ST1                             ,1,0.00069,0.05747,376.0,1.0,345.0,0.0,376.0,0.0,0.0,0.975,20.0
601,627,0,1,通霄甲ST6                               ,1,0.0025,0.08424,145.0,1.0,161.0,0.0,145.0,145.0,0.0,0.95652,13.8
610,625,0,1,通霄乙GT6-1                             ,1,0.00246,0.08569,145.0,1.0,161.0,0.0,145.0,145.0,0.0,0.9565,13.8
610,626,0,2,通霄乙GT6-2                             ,1,0.0025,0.08486,145.0,1.0,161.0,0.0,145.0,145.0,0.0,0.9565,13.8
620,616,0,1,通霄丙T4-1                              ,0,0.00298,0.119,100.0,1.0,161.0,0.0,100.0,0.0,0.0,0.9565,13.8
620,619,0,S,通霄丙ST.T4                             ,0,0.00201,0.079,170.0,1.0,161.0,0.0,170.0,0.0,0.0,0.9565,13.8
628,621,0,1,通霄丙T5-1                              ,0,0.00298,0.119,100.0,1.0,161.0,0.0,100.0,100.0,0.0,0.9565,13.8
628,624,0,S,通霄丙ST.T5                             ,0,0.00201,0.079,170.0,1.0,161.0,0.0,170.0,0.0,0.0,0.9565,13.8
700,701,0,1,大觀二M.T1                              ,1,0.0012,0.0498,280.0,1.0,345.0,0.0,280.0,280.0,0.0,1.0,16.5
700,702,0,1,大觀二M.T2                              ,1,0.0012,0.0498,280.0,1.0,345.0,0.0,280.0,280.0,0.0,1.0,16.5
700,703,0,1,大觀二M.T3                              ,1,0.0012,0.0498,280.0,1.0,345.0,0.0,280.0,280.0,0.0,1.0,16.5
700,704,0,1,大觀二M.T4                              ,1,0.0012,0.0498,280.0,1.0,345.0,0.0,280.0,280.0,0.0,1.0,16.5
700,705,0,1,大觀二S.T1                              ,1,0.01441,0.30121,34.0,1.0,345.0,0.0,34.0,34.0,0.0,1.0,6.9
700,706,0,1,大觀二S.T2                              ,1,0.01441,0.30121,34.0,1.0,345.0,0.0,34.0,34.0,0.0,1.0,6.9
710,711,0,1,明潭M.T1                                ,1,0.001,0.0487,300.0,1.0,345.0,0.0,300.0,300.0,0.0,1.0,16.5
710,712,0,1,明潭M.T2                                ,1,0.001,0.0487,300.0,1.0,345.0,0.0,300.0,300.0,0.0,1.0,16.5
710,713,0,1,明潭M.T3                                ,1,0.001,0.0501,300.0,1.0,345.0,0.0,300.0,300.0,0.0,1.0,16.5
710,717,0,1,明潭S.T1                                ,1,0.0132,0.39749,36.66,1.0,345.0,0.0,36.7,36.7,0.0,1.0,13.8
720,714,0,1,明潭M.T4                                ,1,0.001,0.0501,300.0,1.0,345.0,0.0,300.0,300.0,0.0,1.0,16.5
720,715,0,1,明潭M.T5                                ,1,0.001,0.0501,300.0,1.0,345.0,0.0,300.0,300.0,0.0,1.0,16.5
720,716,0,1,明潭M.T6                                ,1,0.001,0.0501,300.0,1.0,345.0,0.0,300.0,300.0,0.0,1.0,16.5
720,718,0,1,明潭S.T2                                ,1,0.0132,0.39749,36.66,1.0,345.0,0.0,36.7,36.7,0.0,1.0,13.8
800,801,0,1,天輪G.T1                                ,1,0.01377,0.3462,30.0,1.0,161.0,0.0,30.0,30.0,0.0,0.95455,11.0
800,802,0,1,天輪G.T2                                ,1,0.01383,0.3297,30.0,1.0,161.0,0.0,30.0,30.0,0.0,0.95455,11.0
800,803,0,1,天輪G.T3                                ,1,0.01387,0.33113,30.0,1.0,161.0,0.0,30.0,30.0,0.0,0.95455,11.0
800,804,0,1,天輪G.T4                                ,1,0.0193,0.4,30.0,1.0,161.0,0.0,30.0,30.0,0.0,0.95455,11.0
800,805,0,1,天輪G.T5                                ,1,0.00187,0.0728,134.0,1.0,161.0,0.0,134.0,134.0,0.0,0.95652,13.8
822,820,0,1,谷關D.T1                                ,1,0.015,0.5353,20.0,1.0,23.9,0.0,20.0,20.0,0.0,1.0,161.0
822,820,0,2,谷關D.T2                                ,1,0.015,0.5353,20.0,1.0,23.9,0.0,20.0,20.0,0.0,1.0,161.0
820,825,0,1,谷關G1                                  ,1,0.00662001,0.17752,68.0,1.0,161.0,0.0,68.0,68.0,0.0,0.9565,13.8
820,826,0,2,谷關G2                                  ,1,0.00662,0.17738,68.0,1.0,161.0,0.0,68.0,68.0,0.0,0.9565,13.8
820,827,0,3,谷關G3                                  ,1,0.00662,0.1762,68.0,1.0,161.0,0.0,68.0,68.0,0.0,0.9565,13.8
820,828,0,4,谷關G4                                  ,1,0.00662001,0.17458,68.0,1.0,161.0,0.0,68.0,68.0,0.0,0.9565,13.8
830,831,0,1,青山G.T1                                ,1,0.00314,0.11233,118.0,1.0,161.0,0.0,118.0,0.0,0.0,0.9565,13.8
830,832,0,2,青山G.T2                                ,1,0.00314,0.11233,118.0,1.0,161.0,0.0,118.0,0.0,0.0,0.9565,13.8
830,833,0,3,青山G.T3                                ,1,0.00331,0.11309,118.0,1.0,161.0,0.0,118.0,0.0,0.0,0.9565,13.8
830,834,0,4,青山G.T4                                ,1,0.00331,0.11241,118.0,1.0,161.0,0.0,118.0,0.0,0.0,0.9565,13.8
830,835,0,1,青山S.TR                                ,1,0.09333,3.07525,3.0,1.0,161.0,0.0,3.0,0.0,0.0,1.0,11.95
840,841,0,1,德基M.T1                                ,1,0.00364,0.0984,100.0,1.0,161.0,0.0,100.0,100.0,0.0,0.95652,13.8
840,842,0,1,德基M.T2                                ,1,0.00364,0.0984,100.0,1.0,161.0,0.0,100.0,100.0,0.0,0.95652,13.8
840,843,0,1,德基M.T3                                ,1,0.00364,0.0984,100.0,1.0,161.0,0.0,100.0,100.0,0.0,0.95652,13.8
844,840,0,1,德基D.T1                                ,1,0.015,0.54779,20.0,1.0,23.9,0.0,20.0,20.0,0.0,1.0,161.0
844,840,0,2,德基D.T2                                ,1,0.015,0.5353,20.0,1.0,23.9,0.0,20.0,20.0,0.0,1.0,161.0
850,851,0,1,鉅工M.T1                                ,1,0.02192,0.36164,26.0,1.0,161.0,0.0,26.0,26.0,0.0,0.95455,11.0
850,852,0,1,鉅工M.T2                                ,1,0.02192,0.3655,26.0,1.0,161.0,0.0,26.0,26.0,0.0,0.95455,11.0
853,850,0,1,鉅工D.T                                 ,1,0.0115,0.566,30.0,0.9875,23.9,0.0,30.0,30.0,0.0,1.0,161.0
860,861,0,1,大觀一G.T1                              ,1,0.01739,0.43039,28.0,1.0,161.0,0.0,28.0,28.0,0.0,0.95455,11.0
860,862,0,1,大觀一G.T2                              ,1,0.02229,0.44389,28.0,1.0,161.0,0.0,28.0,28.0,0.0,0.95455,11.0
860,863,0,1,大觀一G.T3                              ,1,0.01629,0.4233,28.0,1.0,161.0,0.0,28.0,28.0,0.0,0.95455,11.0
860,864,0,1,大觀一G.T4                              ,1,0.01629,0.4225,28.0,1.0,161.0,0.0,28.0,28.0,0.0,0.95455,11.0
860,865,0,1,大觀一G.T8                              ,1,0.01629,0.4225,28.0,1.0,161.0,0.0,28.0,28.0,0.0,0.95455,11.0
870,872,0,2,萬大T5                                  ,1,0.01825,0.40559,40.0,1.0,161.0,0.0,40.0,40.0,0.0,1.0,69.0
870,874,0,4,萬大T4                                  ,1,0.01816,0.40527,33.25,1.0,161.0,0.0,33.25,33.25,0.0,0.9565,13.8
875,876,0,1,松林G.T1                                ,1,0.018,0.4016,25.0,1.0,161.0,0.0,25.0,25.0,0.0,0.9565,13.8
876,877,0,2,松林G.T2                                ,1,0.001826,0.018157,3.5,1.0,13.8,0.0,3.5,3.5,0.0,0.94286,3.5
880,881,0,1,卓蘭T1                                  ,1,0.00851,0.30579,39.0,1.0,161.0,0.0,52.0,52.0,0.0,0.95652,13.8
880,882,0,2,卓蘭T2                                  ,1,0.009,0.30831,39.0,1.0,161.0,0.0,52.0,52.0,0.0,0.95652,13.8
883,880,0,1,卓蘭D.T1                                ,1,0.0162,0.5481,30.0,1.0,23.9,0.0,30.0,30.0,0.0,1.0,161.0
890,891,0,1,馬鞍M.T1                                ,1,0.00407,0.14076,86.0,1.0,161.0,0.0,86.0,86.0,0.0,0.9565,13.8
890,892,0,1,馬鞍M.T2                                ,1,0.00419,0.13982,86.0,1.0,161.0,0.0,86.0,86.0,0.0,0.9565,13.8
1000,1001,0,1,核三M.T1                                ,0,0.0002,0.0117,1260.0,1.0,345.0,0.0,1260.0,1260.0,0.0,0.98,25.0
1000,1002,0,1,核三M.T2                                ,0,0.0002,0.0116,1260.0,1.0,345.0,0.0,1260.0,1260.0,0.0,0.98,25.0
1000,1009,0,1,核三S.T1                                ,1,0.0206,0.6195,33.9,0.975,345.0,0.0,33.9,33.9,0.0,1.0,13.8
