bus_i,gen_id,pg_mw,qg_mvar,qt_mvar,qb_mvar,vs_pu,mbase_mva,status,pmax_mw,pmin_mw
831,1,50.0,-12.03,45.0,-34.0,0.95,105.0,1,94.5,0.0
832,2,0.0,-34.0,45.0,-34.0,0.95,105.0,0,94.5,0.0
833,3,50.0,-12.005,45.0,-34.0,0.95,105.0,1,94.5,0.0
834,4,0.0,-10.347,45.0,-34.0,0.95,105.0,0,94.5,0.0
841,1,0.0,-7.0,6.0,-7.0,0.95,86.67,0,66.7,0.0
842,2,45.0,-7.0,37.77,-7.0,0.95,86.67,1,66.7,0.0
843,3,45.0,-7.0,37.77,-7.0,0.95,86.67,1,66.7,0.0
851,1,10.0,7.208,8.324,0.0,0.99,23.3,1,21.75,0.0
852,1,10.0,7.136,8.324,0.0,0.99,23.3,1,21.75,0.0
861,1,12.5,-2.5,10.5,-2.5,0.95,24.44,1,21.0,0.0
862,1,12.5,-2.5,10.5,-2.5,0.95,24.44,1,21.0,0.0
863,1,12.5,-2.5,10.5,-2.5,0.95,24.44,1,21.0,0.0
864,1,12.5,-2.5,10.5,-2.5,0.95,24.44,1,21.0,0.0
865,1,0.0,0.998,10.5,-2.5,0.95,24.44,0,21.0,0.0
871,1,2.49,1.752,5.013,-1.479,0.99,11.5,1,10.35,0.0
871,2,2.49,1.752,5.0,-1.477,0.99,11.5,1,10.35,0.0
873,3,0.0,-1.2,7.4,-1.502,0.99,17.0,0,15.3,0.0
874,4,5.02,5.798,10.093,-3.07,0.99,23.16,1,20.84,0.0
876,1,0.0,1.572,9.103,-2.89,0.99,20.88,0,18.975,0.0
877,2,0.0,1.349,1.349,-0.392,0.99,3.09,0,2.785,0.0
881,1,23.0,-1.0,19.35,-1.0,0.95,44.4,1,40.0,0.0
882,2,0.0,-3.1,19.35,-3.1,0.95,44.4,0,40.0,0.0
891,1,41.0,-2.452,32.32,-10.0,0.96,74.15,1,66.75,0.0
892,1,41.0,-2.519,32.32,-10.0,0.96,74.15,1,66.75,0.0
1001,1,0.0,-15.852,460.0,-100.0,1.0,1057.5,0,939.0,0.0
1002,2,0.0,70.81,460.0,-100.0,1.0,1057.5,0,939.0,0.0
1007,1,0.0,0.0,30.0,0.0,1.0,69.6,0,79.0,5.0
1008,1,0.0,0.0,30.0,0.0,1.0,69.6,0,79.0,5.0
1031,1,3.6,1.749,6.47,-1.9,0.97,12.29,1,7.99,0.0
1032,2,3.6,1.751,6.47,-1.9,0.97,12.29,1,7.99,0.0
1033,3,3.6,1.749,6.47,-1.9,0.97,12.29,1,7.99,0.0
1034,4,3.6,1.743,6.47,-1.9,0.97,12.29,1,7.99,0.0
1035,5,4.45,1.779,6.83,-2.5,0.97,12.98,1,9.87,0.0
1036,6,4.45,1.779,6.83,-2.5,0.97,12.98,1,9.87,0.0
1037,7,4.45,1.783,6.83,-2.5,0.97,12.98,1,9.87,0.0
1038,8,4.45,1.791,6.83,-2.5,0.97,12.98,1,9.87,0.0
1039,9,4.45,1.779,6.83,-2.5,0.97,12.98,1,9.87,0.0
1040,10,4.45,1.771,6.83,-2.5,0.97,12.98,1,9.87,0.0
