psse_bus_i,bus_name,base_kv,ide,pp_bus_idx
4635,¼Öµ½H,161.0,1,690
4636,¼Öµ½D,23.9,1,691
4637,®õ¤sH,161.0,1,692
4638,®õ¤sD,23.9,1,693
4639,ªø¦wH,161.0,1,694
4640,ªø¦wD,23.9,1,695
4649,«n¿³H,161.0,1,696
4650,«n¿³D,23.9,1,697
4651,ºÖ®üH,161.0,1,698
4652,ºÖ®üD,23.9,1,699
4701,¤¤¤jH,161.0,1,700
4702,¤¤¤jD,23.9,1,701
4703,¿³°êH,161.0,1,702
4704,¿³°êD,23.9,1,703
4705,§º«ÎH,161.0,1,704
4706,§º«ÎD,23.9,1,705
4709,¤­ÅvH,161.0,1,706
4710,¤­ÅvD,23.9,1,707
4711,¤¤­ìH,161.0,1,708
4712,¤¤­ìD,23.9,1,709
4713,¦Û¥ßH,161.0,1,710
4714,¦Û¥ßD,23.9,1,711
4715,©¾ºÖH,161.0,1,712
4716,©¾ºÖD,23.9,1,713
4751,´I©£H,161.0,1,714
4752,´I©£D,23.9,1,715
4753,ºa¦¨H,161.0,1,716
4754,ºa¦¨D,23.9,1,717
4755,¥Õ¥ÉH,161.0,1,718
4756,¥Õ¥ÉD,23.9,1,719
4757,¶í§ÀH,161.0,1,720
4758,¶í§ÀD,23.9,1,721
4759,«O¥ÍH,161.0,1,722
4760,«O¥ÍD,23.9,1,723
4763,ªøµoH,161.0,1,724
4764,ªøµoD,23.9,1,725
4801,ªFªÀH,161.0,1,726
4802,ªFªÀD,23.9,1,727
4805,¸t«FH,161.0,1,728
4806,¸t«FD,23.9,1,729
4811,°ª´­H,161.0,1,730
4812,°ª´­D,23.9,1,731
4813,·ç·½H,161.0,1,732
4814,·ç·½D,23.9,1,733
4815,·s¤uH,161.0,1,734
4816,·s¤uD,23.9,1,735
4817,·¨±öH,161.0,1,736
4818,·¨±öD,23.9,1,737
4819,ÀsÅãH,161.0,1,738
4820,ÀsÅãD,23.9,1,739
4821,´ò¥_H,161.0,1,740
4822,´ò¥_D,23.9,1,741
4823,¤¤Â×H,161.0,1,742
4824,¤¤Â×D,23.9,1,743
4839,·s±[H,161.0,1,744
4840,·s±[D,23.9,1,745
4901,«C·ËH,161.0,1,746
4902,«C·ËD,23.9,1,747
4903,¤¶¹ØH,161.0,1,748
4904,¤¶¹ØD,23.9,1,749
4907,ªZ³®H,161.0,1,750
4908,ªZ³®D,23.9,1,751
4909,®ç¶éH,161.0,1,752
4910,®ç¶éD,23.9,1,753
4921,»ñ»ïH,161.0,1,754
4922,»ñ»ïD,23.9,1,755
4989,¤½¶éH,161.0,1,756
4990,¤½¶éD,23.9,1,757
4991,¹ÒºÖH,161.0,1,758
4992,¹ÒºÖD,23.9,1,759
4993,¼æ«áH,161.0,1,760
4994,¼æ«áD,23.9,1,761
4995,¤»®aH,161.0,1,762
4996,¤»®aD,23.9,1,763
4997,·sÂ×H,161.0,1,764
4998,·sÂ×D,23.9,1,765
4999,¹i¤fH,161.0,1,766
5000,¹i¤fD,23.9,1,767
5003,Às±öH,161.0,1,768
5004,Às±öD,23.9,1,769
5005,Às¤sH,161.0,1,770
5006,Às¤sD,23.9,1,771
5013,Àç½LH,161.0,1,772
5014,Àç½LD,23.9,1,773
5017,ÀsªQH,161.0,1,774
5018,ÀsªQD,23.9,1,775
5021,³»¶éH,161.0,1,776
5022,³»¶éD,23.9,1,777
5023,¤s¨ÎH,161.0,1,778
5024,¤s¨ÎD,23.9,1,779
5025,ÂÏ®çH,161.0,1,780
5026,ÂÏ®çD,23.9,1,781
5027,©Ð¸ÌH,161.0,1,782
5028,©Ð¸ÌD,23.9,1,783
5055,´Â¤sH,161.0,1,784
5056,´Â¤sD,23.9,1,785
5079,¿}¬ìH,161.0,1,786
5080,¿}¬ìD,23.9,1,787
5091,Às©úH,161.0,1,788
5092,Às©úD,23.9,1,789
5097,¾ð¤UH,161.0,1,790
5098,¾ð¤UD,23.9,1,791
5107,¼Ì¾ðH,161.0,1,792
5108,¼Ì¾ðD,23.9,1,793
5501,¼æ«nH,161.0,1,794
5502,¼æ«nD,23.9,1,795
5503,¤å¤ßH,161.0,1,796
5504,¤å¤ßD,23.9,1,797
5505,Â×­ìH,161.0,1,798
5506,Â×­ìD,23.9,1,799
5521,¤j¶®H,161.0,1,800
5522,¤j¶®D,23.9,1,801
5523,¼æÄ_H,161.0,1,802
5524,¼æÄ_D,23.9,1,803
5525,¤W«°H,161.0,1,804
5526,¤W«°D,23.9,1,805
5529,·sªÀH,161.0,1,806
5530,·sªÀD,23.9,1,807
5537,©÷¥­H,161.0,1,808
5538,©÷¥­D,23.9,1,809
5541,Â×¬wH,161.0,1,810
5542,Â×¬wD,23.9,1,811
5545,¤¤¨FH,161.0,1,812
5546,¤¤¨FD,23.9,1,813
5601,¶î«°H,161.0,1,814
5602,¶î«°D,23.9,1,815
5603,¤Q¥ÒH,161.0,1,816
5604,¤Q¥ÒD,23.9,1,817
5605,«Ø¥­H,161.0,1,818
5606,«Ø¥­D,23.9,1,819
5607,°·¥ÁH1,161.0,1,820
5609,°·¥ÁH2,161.0,1,821
5610,°·¥ÁD2,23.9,1,822
5611,­XÓyH,161.0,1,823
5612,­XÓyD,23.9,1,824
5615,¤¤µØH,161.0,1,825
5616,¤¤µØD,23.9,1,826
5617,¤j§|H,161.0,1,827
5618,¤j§|D,23.9,1,828
5625,¤ôÙõH,161.0,1,829
5626,¤ôÙõD,23.9,1,830
5627,¤Ó¥­H,161.0,1,831
5628,¤Ó¥­D,23.9,1,832
5637,¥_¬hH,161.0,1,833
5638,¥_¬hD,23.9,1,834
5643,¤¤¦èH,161.0,1,835
5644,¤¤¦èD,23.9,1,836
5647,¤E®pH,161.0,1,837
5648,¤E®pD,23.9,1,838
5651,¾¤©úH,161.0,1,839
5652,¾¤©úD,23.9,1,840
5653,°ê¦wH,161.0,1,841
5654,°ê¦wD,23.9,1,842
5655,¤u¥ÒH,161.0,1,843
5656,¤u¥ÒD,23.9,1,844
5657,¤u¤AH,161.0,1,845
5658,¤u¤AD,23.9,1,846
5659,©ú¨qH,161.0,1,847
5660,©ú¨qD,23.9,1,848
5663,©¾©úH,161.0,1,849
5664,©¾©úD,23.9,1,850
5665,­^¤~H,161.0,1,851
5666,­^¤~D,23.9,1,852
5667,Â×¼ÖH,161.0,1,853
5668,Â×¼ÖD,23.9,1,854
5669,¯Q¤éH,161.0,1,855
5670,¯Q¤éD,23.9,1,856
5671,«n¤ÙH,161.0,1,857
5672,«n¤ÙD,23.9,1,858
5681,¥~®HH,161.0,1,859
5682,¥~®HD,23.9,1,860
5683,´ä¤uH,161.0,1,861
5684,´ä¤uD,23.9,1,862
5685,¾÷¬ìH,161.0,1,863
5686,¾÷¬ìD,23.9,1,864
5693,¾Ç¥ÐH,161.0,1,865
5694,¾Ç¥ÐD,23.9,1,866
5777,¯è¤ÓH,161.0,1,867
5778,¯è¤ÓD,23.9,1,868
5787,¼w¸qH,161.0,1,869
5788,¼w¸qD,23.9,1,870
5789,®ü§ÀH,161.0,1,871
5790,®ü§ÀD,23.9,1,872
5801,½u¦èH,161.0,1,873
5802,½u¦èD,23.9,1,874
5809,³ÀªFH,161.0,1,875
5810,³ÀªFD,23.9,1,876
5811,³À¦èH,161.0,1,877
5812,³À¦èD,23.9,1,878
5817,º~Ä_H,161.0,1,879
5818,º~Ä_D,23.9,1,880
5819,¯ó´äH,161.0,1,881
5820,¯ó´äD,23.9,1,882
5821,¹ü¤@¥ÒSY,161.0,1,883
5822,¹ü¤@¤ASY,161.0,1,884
5823,¹ü¤@¤þSY,161.0,1,885
5824,¹ü°ñ¥ÒSY,161.0,1,886
5826,¥Ã¿³SY,161.0,1,887
5841,¤j«°H,161.0,1,888
5842,¤j«°D,23.9,1,889
5845,ªÚ¿³H,161.0,1,890
5846,ªÚ¿³D,23.9,1,891
5851,¹ü·sH,161.0,1,892
5852,¹ü·sD,23.9,1,893
5853,¤jÁøH,161.0,1,894
5854,¤jÁøD,23.9,1,895
5855,ºÖ¿³H,161.0,1,896
5856,ºÖ¿³D,23.9,1,897
5863,¹ü¦ËH,161.0,1,898
5864,¹ü¦ËD,23.9,1,899
5901,­ûªLH,161.0,1,900
5902,­ûªLD,23.9,1,901
5903,ªá¾ÂH,161.0,1,902
5904,ªá¾ÂD,23.9,1,903
5905,­ûªFH,161.0,1,904
5906,­ûªFD,23.9,1,905
5909,¥Ð¤¤H,161.0,1,906
5910,¥Ð¤¤D,23.9,1,907
5913,ÂÅ«°H,161.0,1,908
5914,ÂÅ«°D,23.9,1,909
5915,§ë¤¤H,161.0,1,910
5916,§ë¤¤D,23.9,1,911
5941,¥x¦èH,161.0,1,912
5942,¥x¦èD,23.9,1,913
5943,¥|´òH,161.0,1,914
5944,¥|´òD,23.9,1,915
5947,©y±ïH,161.0,1,916
5948,©y±ïD,23.9,1,917
5955,¤UÀçH,161.0,1,918
5956,¤UÀçD,23.9,1,919
5957,¥_ªùH,161.0,1,920
5958,¥_ªùD,23.9,1,921
5975,¤ÓÅKH,161.0,1,922
5976,¤ÓÅKD,23.9,1,923
5977,¸q¦ËH,161.0,1,924
5978,¸q¦ËD,23.9,1,925
5979,ªêµ×H,161.0,1,926
5980,ªêµ×D,23.9,1,927
5983,ªê¬ìH,161.0,1,928
5984,ªê¬ìD,23.9,1,929
5985,¥¬³UH,161.0,1,930
5986,¥¬³UD,23.9,1,931
5987,¥x°ÏH,161.0,1,932
5988,¥x°ÏD,23.9,1,933
5995,¤æ¤»H,161.0,1,934
5996,¤æ¤»D,23.9,1,935
5997,ºh¤¤H,161.0,1,936
5998,ºh¤¤D,23.9,1,937
6003,¥_¦^H,161.0,1,938
6004,¥_¦^D,23.9,1,939
6009,¤æ¤uH,161.0,1,940
6010,¤æ¤uD,23.9,1,941
6011,¥_¶ÕH,161.0,1,942
6012,¥_¶ÕD,23.9,1,943
6017,¬hÀçH,161.0,1,944
6018,¬hÀçD,23.9,1,945
6023,¤¯·RH,161.0,1,946
6024,¤¯·RD,23.9,1,947
6033,¤æ«nH,161.0,1,948
6034,¤æ«nD,23.9,1,949
6039,ÁR·}H,161.0,1,950
6040,ÁR·}D,23.9,1,951
6041,¶QªÙH,161.0,1,952
6042,¶QªÙD,23.9,1,953
6043,¤ý¦æH,161.0,1,954
6044,¤ý¦æD,23.9,1,955
6055,¤p¥_H,161.0,1,956
6056,¤p¥_D,23.9,1,957
6059,ÆQ¦æH,161.0,1,958
6060,ÆQ¦æD,23.9,1,959
6063,·s¤ÆH,161.0,1,960
6064,·s¤ÆD,23.9,1,961
6067,©²«°H,161.0,1,962
6068,©²«°D,23.9,1,963
6071,©M¶¶H,161.0,1,964
6072,©M¶¶D,23.9,1,965
6073,¤T¦ËH,161.0,1,966
6074,¤T¦ËD,23.9,1,967
6075,Â×µØH,161.0,1,968
6076,Â×µØD,23.9,1,969
6079,©¾§µH,161.0,1,970
6080,©¾§µD,23.9,1,971
6081,¤CªÑ¥Ò,161.0,1,972
6082,¤CªÑ¤A,161.0,1,973
6083,«nÀØH,161.0,1,974
6084,«nÀØD,23.9,1,975
6085,³À¦ÕH,161.0,1,976
6086,³À¦ÕD,23.9,1,977
6087,±N­xH,161.0,1,978
6093,ªF¾ÇH,161.0,1,979
6094,ªF¾ÇD,23.9,1,980
6095,¹D·ÝH1,161.0,1,981
6096,¹D·ÝD1,23.9,1,982
6097,¹D·ÝH2,161.0,1,983
6098,¹D·ÝD2,23.9,1,984
6105,¤¯¼wH,161.0,1,985
6106,¤¯¼wD,23.9,1,986
6107,©µ¥­H,161.0,1,987
6108,©µ¥­D,23.9,1,988
6109,¸Î¹AH,161.0,1,989
6110,¸Î¹AD,23.9,1,990
6111,«O©wH,161.0,1,991
6112,«O©wD,23.9,1,992
6115,¹Å®pH,161.0,1,993
6116,¹Å®pD,23.9,1,994
6119,¥_À­H,161.0,1,995
6120,¥_À­D,23.9,1,996
6125,¤G¥ÒH,161.0,1,997
6126,¤G¥ÒD,23.9,1,998
6127,©£¤uH,161.0,1,999
6128,©£¤uD,23.9,1,1000
6129,¦ËÀ­H,161.0,1,1001
6130,¦ËÀ­D,23.9,1,1002
6139,¸ô¶éH,161.0,1,1003
6140,¸ô¶éD,23.9,1,1004
6161,·£±êH,161.0,1,1005
6162,·£±êD,23.9,1,1006
6163,·£ºXH,161.0,1,1007
6164,·£ºXD,23.9,1,1008
6165,¥[©÷H,161.0,1,1009
6166,¥[©÷D,23.9,1,1010
6169,«á«lH,161.0,1,1011
6170,«á«lD,23.9,1,1012
6203,¥_ÀçH,161.0,1,1013
6204,¥_ÀçD,23.9,1,1014
6207,«Ì¤sH,161.0,1,1015
6208,«Ì¤sD,23.9,1,1016
6217,¬ü¤sH,161.0,1,1017
6218,¬ü¤sD,23.9,1,1018
6219,»ñ¤sH,161.0,1,1019
6220,»ñ¤sD,23.9,1,1020
6223,ºX¤sH,161.0,1,1021
6224,ºX¤sD,23.9,1,1022
6227,¤E¦±H,161.0,1,1023
6228,¤E¦±D,23.9,1,1024
6233,ªÀÆWH,161.0,1,1025
6234,ªÀÆWD,23.9,1,1026
6235,¥KÂ×H,161.0,1,1027
6236,¥KÂ×D,23.9,1,1028
6301,Às¤lH,161.0,1,1029
6302,Às¤lD,23.9,1,1030
6305,¦P·ùH,161.0,1,1031
6306,¦P·ùD,23.9,1,1032
6309,¤º±©H,161.0,1,1033
6310,¤º±©D,23.9,1,1034
6311,¤T¥ÁH,161.0,1,1035
6312,¤T¥ÁD,23.9,1,1036
6317,¦è¥ÒH,161.0,1,1037
6318,¦è¥ÒD,23.9,1,1038
6319,Âí¥_H,161.0,1,1039
6320,Âí¥_D,23.9,1,1040
6321,¤¤®qH,161.0,1,1041
6322,¤¤®qD,23.9,1,1042
6329,¤¤¥[H,161.0,1,1043
6330,¤¤¥[D,23.9,1,1044
6353,³Í±ÛH,161.0,1,1045
6354,³Í±ÛD,23.9,1,1046
6361,¥|ºûH,161.0,1,1047
6362,¥|ºûD,23.9,1,1048
6367,Á{®üH,161.0,1,1049
6368,Á{®üD,23.9,1,1050
6369,¶Q¶§H,161.0,1,1051
6370,¶Q¶§D,23.9,1,1052
6371,¸g¶TH,161.0,1,1053
6372,¸g¶TD,23.9,1,1054
6407,¹L°ñH,161.0,1,1055
6408,¹L°ñD,23.9,1,1056
6409,»ñ¹AH,161.0,1,1057
6410,»ñ¹AD,23.9,1,1058
6451,¦è«ÌH,161.0,1,1059
6452,¦è«ÌD,23.9,1,1060
6455,«n«ÌH,161.0,1,1061
6456,«n«ÌD,23.9,1,1062
6457,¹A¤@H,161.0,1,1063
6458,¹A¤@D,23.9,1,1064
6511,¼éªFH,161.0,1,1065
6512,¼éªFD,23.9,1,1066
6513,ªF´äH,161.0,1,1067
6514,ªF´äD,23.9,1,1068
6515,¨Î·½H,161.0,1,1069
6516,¨Î·½D,23.9,1,1070
6521,¥[¤@H,161.0,1,1071
6522,¥[¤@D,23.9,1,1072
7001,ª¾¥»H,161.0,1,1073
7002,ª¾¥»D,23.9,1,1074
7003,¤jªZH,161.0,1,1075
7004,¤jªZD,23.9,1,1076
7005,ªF¦¨H,161.0,1,1077
7006,ªF¦¨D,23.9,1,1078
7007,¥[¬zSY,161.0,1,1079
7011,³Ó¦wH,161.0,1,1080
7012,³Ó¦wD,23.9,1,1081
7013,¦À¤WH,161.0,1,1082
7014,¦À¤WD,23.9,1,1083
7019,¥É¨½H,161.0,1,1084
7020,¥É¨½D,23.9,1,1085
7021,Â×¨½H,161.0,1,1086
7022,Â×¨½D,23.9,1,1087
7023,³À³¥H,161.0,1,1088
7024,³À³¥D,23.9,1,1089
7029,°¨ÄõH,161.0,1,1090
7030,°¨ÄõD,23.9,1,1091
7031,¹ØÂ×H,161.0,1,1092
7032,¹ØÂ×D,23.9,1,1093
7500,±`¼w#A,161.0,1,1094
7501,·ç·½#A,161.0,1,1095
7502,·ç·½#B,161.0,1,1096
7509,§Q¿A#A,161.0,1,1097
7511,©WªL#A,161.0,1,1098
7512,©WªL#B,161.0,1,1099
7513,©M¤¯#A,161.0,1,1100
7514,¥x½¬Àx#A,161.0,1,1101
7515,¦è´ò#A,161.0,1,1102
7516,¦è´ò#B,161.0,1,1103
7517,ºa¬P#A,161.0,1,1104
7518,­XÐ¤#A,161.0,1,1105
7519,¿D©³#A,161.0,1,1106
7530,Äõ¶®#A,161.0,1,1107
7534,¶§©ú#A,161.0,1,1108
7563,«°¤¤#A,161.0,1,1109
7564,«°¤¤#B,161.0,1,1110
7567,«n´ä#A,161.0,1,1111
7568,«n´ä#B,161.0,1,1112
7569,¥x¥_²`¬ü#A,161.0,1,1113
7570,¥x¥_²`¬ü#B,161.0,1,1114
7571,¨q®Ô#A,161.0,1,1115
7572,¨q®Ô#B,161.0,1,1116
7573,ª×Às#A,161.0,1,1117
7574,ºÖ©M#A,161.0,1,1118
7575,¥É¦¨Á{#A,161.0,1,1119
7576,¥É¦¨Á{#B,161.0,1,1120
7581,­«·s#A,161.0,1,1121
7582,­«·s#B,161.0,1,1122
7584,¿³¬Ã#B,161.0,1,1123
7585,µØ³±#A,161.0,1,1124
7586,µØ³±#B,161.0,1,1125
7588,µØ±¶#,161.0,1,1126
7589,Äª¬w#1,161.0,1,1127
7590,Äª¬w#2,161.0,1,1128
7591,Äª¬w#3,161.0,1,1129
7592,Äª¬w#4,161.0,1,1130
7604,®õ¤s#A,161.0,1,1131
7605,®õ¤s#B,161.0,1,1132
7609,Â×ªL#A,161.0,1,1133
7611,²ø±¶#A,161.0,1,1134
7612,²ø±¶#B,161.0,1,1135
7613,«nÅÖ#A,161.0,1,1136
7615,´º¬P#A,161.0,1,1137
7616,´º¬P#B,161.0,1,1138
7617,®ç¾÷#A,161.0,1,1139
7618,®ç¾÷ªF#A,161.0,1,1140
7619,´º¬P#C,161.0,1,1141
7620,ªø¦w#,161.0,1,1142
7623,¤TºÖ3#,161.0,1,1143
7626,¸t«F#A,161.0,1,1144
7627,·s¤u#A,161.0,1,1145
7628,·s¤u#B,161.0,1,1146
7629,·¨°ª#A,161.0,1,1147
7630,±ö´ò#A,161.0,1,1148
7635,·¨±ö#A,161.0,1,1149
7636,·¨±ö#B,161.0,1,1150
7639,±ö´ò#B,161.0,1,1151
7650,­]°ª#A,161.0,1,1152
7651,­]­^#A,161.0,1,1153
7652,¨ôÄõ#45A,161.0,1,1154
7653,¨ôÄõ#45B,161.0,1,1155
7654,¼Ì¾ð#82A,161.0,1,1156
7655,¼Ì¾ð#82B,161.0,1,1157
7656,Às¨q#A,161.0,1,1158
7657,Às¨q#B,161.0,1,1159
7661,«C¤s#B,161.0,1,1160
7662,¦Z¨½#A,161.0,1,1161
7663,¦Z¨½#B,161.0,1,1162
7664,«C¤s#A,161.0,1,1163
7666,¥_¬h#A,161.0,1,1164
7667,¥_¬h#B,161.0,1,1165
7668,·sªÀ#A,161.0,1,1166
7669,·sªÀ#B,161.0,1,1167
7681,¯Q¤é#,161.0,1,1168
7683,ª¿«~#A,161.0,1,1169
7684,¤ë¬Ü#A,161.0,1,1170
7686,¤¤´ä#A,161.0,1,1171
7687,¤¤´ä#B,161.0,1,1172
7688,©ú¨q#A,161.0,1,1173
7689,©ú¨q#B,161.0,1,1174
7700,¨ÈªF#A,161.0,1,1175
7707,¥xªÎ#A,161.0,1,1176
7708,¤¤®ð#A,161.0,1,1177
7709,¤¤¬ü©M#A,161.0,1,1178
7710,¤¤Áp#,161.0,1,1179
7711,³ÀªF#A,161.0,1,1180
7712,³À¦è#A,161.0,1,1181
7713,½u¦è#A,161.0,1,1182
7714,½u¦è#B,161.0,1,1183
7715,±[§ÀÁpµØ#A,161.0,1,1184
7720,¹ü¦Ë#A,161.0,1,1185
7721,¹ü¦Ë#B,161.0,1,1186
7730,¤¤¯à­·#A,161.0,1,1187
7750,¹ü·s#A,161.0,1,1188
7751,¹ü·s#B,161.0,1,1189
7790,©y±ï#A,161.0,1,1190
7791,©y±ï#B,161.0,1,1191
7792,¥¬³U¥ý#A,161.0,1,1192
7793,¥¬³U¥ý#B,161.0,1,1193
7794,¥x°Ï¥ý#A,161.0,1,1194
7795,¥x°Ï¥ý#B,161.0,1,1195
7796,ªF¾Ç¥ý#A,161.0,1,1196
7798,«n¬ìªF¾Ç#,161.0,1,1197
7799,³Ðºû­·#A,161.0,1,1198
7800,«Â­P#A,161.0,1,1199
7801,¹Å´f#A,161.0,1,1200
7802,¹Å´f#B,161.0,1,1201
7805,¥_´ä#A,161.0,1,1202
7806,¥_´ä#B,161.0,1,1203
7808,¥|´ò#,161.0,1,1204
7809,·s°ª#A,161.0,1,1205
7810,¶³°ª#A,161.0,1,1206
7811,¶³°ª#B,161.0,1,1207
7812,¦°µv¤l#A,161.0,1,1208
7813,¦°µv¤l#B,161.0,1,1209
7814,¥_ªù¥ý#A,161.0,1,1210
7815,¥_ªù¥ý#B,161.0,1,1211
7817,¸q¦Ë#A,161.0,1,1212
7818,¸q¦ËµØ¥d#C,161.0,1,1213
7819,¸q¦Ë#B,161.0,1,1214
7820,¤s¤W#A,161.0,1,1215
7821,¤s¤W#B,161.0,1,1216
7822,·s¤Æ#A,161.0,1,1217
7823,·s¤Æ#B,161.0,1,1218
7824,Â×µØ#A,161.0,1,1219
7825,Â×µØ#B,161.0,1,1220
7827,¤G¥Ò#A,161.0,1,1221
7828,¤G¥Ò#B,161.0,1,1222
7830,¤¯¼w#A,161.0,1,1223
7831,¤¯¼w#B,161.0,1,1224
7832,¬P´Q¥ú#,161.0,1,1225
7837,êMÁp#A,161.0,1,1226
7838,¹Å®p#A,161.0,1,1227
7839,¹Å®p#B,161.0,1,1228
7840,«O¹ç#A,161.0,1,1229
7841,«O¹ç#B,161.0,1,1230
7845,ªÀªZ#A,161.0,1,1231
7846,ªÀªZ#B,161.0,1,1232
7853,¬ü¤s#A,161.0,1,1233
7854,¬ü¤s#B,161.0,1,1234
7883,·s°ª´ä#A,161.0,1,1235
7884,·s°ª´ä#B,161.0,1,1236
7885,«n¤u¤A#A,161.0,1,1237
7886,«n¤u¤A#B,161.0,1,1238
7887,¿û¥|#A,161.0,1,1239
7888,¿û¥|#B,161.0,1,1240
7889,©W¸ê#A,161.0,1,1241
7890,¶ì¶é#A,161.0,1,1242
7891,­ðºa#A,161.0,1,1243
7892,¥[¤@#A,161.0,1,1244
7893,¥[¤@#B,161.0,1,1245
7894,¤¤¾T#A,161.0,1,1246
7950,ª¾¥»#A,161.0,1,1247
7951,ª¾¥»#B,161.0,1,1248
7952,¹ØÂ×#A,161.0,1,1249
7953,¹ØÂ×#B,161.0,1,1250
7954,·¬´ä#A,161.0,1,1251
8002,©y¹DC,161.0,1,1252
8008,¥xªdC,161.0,1,1253
8009,º~¥»C,161.0,1,1254
8011,©MÅKC,161.0,1,1255
8012,Ã¹¿ûC,161.0,1,1256
8020,¸q±¶C,161.0,1,1257
8025,³Õ·RC,161.0,1,1258
8026,´ò±¶C,161.0,1,1259
8027,ªQ±¶C,161.0,1,1260
8028,´ò¾÷C,161.0,1,1261
8060,§ë±¶C,161.0,1,1262
8081,¥Á±¶C,161.0,1,1263
8100,µØ±¶C,161.0,1,1264
8101,´_±¶C,161.0,1,1265
8140,¤ì±¶C,161.0,1,1266
8141,¿³±¶C,161.0,1,1267
8142,©±±¶C,161.0,1,1268
8143,¤¤±j±¶C,161.0,1,1269
8160,Äª±¶C,161.0,1,1270
8180,¨q±¶C,161.0,1,1271
8181,°ª·s±¶C,161.0,1,1272
8182,¤g±¶C,161.0,1,1273
8183,Â×ªLC,161.0,1,1274
8184,«°±¶C,161.0,1,1275
8185,¤¤µØ¹q«HC,161.0,1,1276
8186,®l±¶C,161.0,1,1277
8190,¥x¦ËC,161.0,1,1278
8191,¥x¤sC,161.0,1,1279
8192,·sÀ­C,161.0,1,1280
8193,«n¾ðC,161.0,1,1281
8195,«Â¼w·sC,161.0,1,1282
8200,¥_ªoC,161.0,1,1283
8203,¾ð°ªC,161.0,1,1284
8204,®ç¾÷C,161.0,1,1285
8206,«n¨ÈC,161.0,1,1286
8207,¯è±¶¥_C,161.0,1,1287
8208,®ç¾÷ªFC,161.0,1,1288
8209,ªO±¶C,161.0,1,1289
8210,«nªLC,161.0,1,1290
8211,¬ü¥ú´¹C,161.0,1,1291
8212,¬ü´¹¤GC,161.0,1,1292
8213,¨È®ð¤GC,161.0,1,1293
8215,²ø±¶C,161.0,1,1294
8216,ªL±¶C,161.0,1,1295
8217,«nÅÖC,161.0,1,1296
8220,¤é¤ë¥úC,161.0,1,1297
8221,®ç±¶C,161.0,1,1298
8222,®i­ZC,161.0,1,1299
8223,Ãc¥úC,161.0,1,1300
8230,Æ[¶í®ðC,161.0,1,1301
8231,ªY´òC,161.0,1,1302
8232,´º·¨C,161.0,1,1303
8240,·¨°ªC,161.0,1,1304
8241,¨È¤Æ¤GC,161.0,1,1305
8242,´º·sC,161.0,1,1306
8244,·s¥úC,161.0,1,1307
8245,²Î´òC,161.0,1,1308
8250,ÂE¤ÍC,161.0,1,1309
8251,´Iº÷C,161.0,1,1310
8252,ª@¶§C,161.0,1,1311
8253,ÅK´IC,161.0,1,1312
8255,ªF¿ûC,161.0,1,1313
8256,¤TºÖ3C,161.0,1,1314
8260,¤»ºÖC,161.0,1,1315
8270,¥þÀ·C,161.0,1,1316
8278,Às¹FC,161.0,1,1317
8279,Às¼sC,161.0,1,1318
8280,ªY¿³C,161.0,1,1319
8281,¿nB3C,161.0,1,1320
8282,ºë§÷C,161.0,1,1321
8300,ªF©MC,161.0,1,1322
8301,­]°ªC,161.0,1,1323
8302,­]¬KC,161.0,1,1324
8304,¤O´¹C,161.0,1,1325
8305,¿nP7C,161.0,1,1326
8306,¥@¤GC,161.0,1,1327
8307,©ô¤GC,161.0,1,1328
8308,¿n¤Q¤GC,161.0,1,1329
8309,¤O´¹MC,161.0,1,1330
8310,«Ø¶¶C,161.0,1,1331
8311,¤Í¹F¤­C,161.0,1,1332
8312,¿nP4C,161.0,1,1333
8313,Áp¤KEC,161.0,1,1334
8314,¿nP6C,161.0,1,1335
8315,©ô¤­C,161.0,1,1336
8316,Às´äC,161.0,1,1337
8319,¤O´¹5C,161.0,1,1338
8320,¨Ê¤¸C,161.0,1,1339
8323,¨È®ð1C,161.0,1,1340
8324,¨È®ð¤TC,161.0,1,1341
8326,¬ü¥ú¤TC,161.0,1,1342
8327,¬ü¥ú¤­C,161.0,1,1343
8329,²ÎÄ_C,161.0,1,1344
8331,¸s³Ð2C,161.0,1,1345
8332,¸s³ÐC,161.0,1,1346
8333,Áp¹qC,161.0,1,1347
8334,¬ü¥úC,161.0,1,1348
8335,Áp¨È¤TC,161.0,1,1349
8336,ª¿«~¤GC,161.0,1,1350
8337,¹F´¹¤GC,161.0,1,1351
8338,¬ü¥ú¤GC,161.0,1,1352
8339,¥x¿n¤KC,161.0,1,1353
8340,¿n¬ã¤@C,161.0,1,1354
8341,¿n­]¤@C,161.0,1,1355
8342,¿n­]¤GC,161.0,1,1356
8346,¨Ê¤¸2C,161.0,1,1357
8353,¿nÄ_¤@C,161.0,1,1358
8354,¿nÄ_¤GC,161.0,1,1359
8355,¿nÄ_¤TC,161.0,1,1360
8359,¥@¤­C,161.0,1,1361
8360,¤¤°ªC,161.0,1,1362
8361,Â×¿ûC,161.0,1,1363
8362,ª¿«~¤­C,161.0,1,1364
8364,¤Ù±¶C,161.0,1,1365
8365,¤Í¹F¤KC,161.0,1,1366
8366,¤ë¬ÜC,161.0,1,1367
8367,¤é°ªC,161.0,1,1368
8368,¤Í¹F¤QC,161.0,1,1369
8369,ª¿«~¤TC,161.0,1,1370
8370,ª¿«~¥|C,161.0,1,1371
8371,¿n¤Q¤­C,161.0,1,1372
