psse_bus_i,bus_name,base_kv,ide,pp_bus_idx
827,¨¦Ãö#3,13.8,2,151
828,¨¦Ãö#4,13.8,2,152
830,«C¤sH,161.0,1,153
831,«C¤s#1,13.8,2,154
832,«C¤s#2,13.8,2,155
833,«C¤s#3,13.8,2,156
834,«C¤s#4,13.8,2,157
835,«C¤sSTR,11.9,1,158
840,¼w°òH,161.0,1,159
841,¼w°ò#1,13.8,2,160
842,¼w°ò#2,13.8,2,161
843,¼w°ò#3,13.8,2,162
844,¼w°òD,23.9,1,163
850,¹d¤uH,161.0,1,164
851,¹d¤u#1,11.0,2,165
852,¹d¤u#2,11.0,2,166
853,¹d¤uD,23.9,1,167
860,¤jÆ[¤@H,161.0,1,168
861,¤jÆ[¤@#1,11.0,2,169
862,¤jÆ[¤@#2,11.0,2,170
863,¤jÆ[¤@#3,11.0,2,171
864,¤jÆ[¤@#4,11.0,2,172
865,¤jÆ[¤@#5,11.0,2,173
870,¸U¤jH,161.0,1,174
872,¸U¤jL,69.0,1,175
874,¸U¤j#4,13.8,2,176
875,ªQªLH,161.0,1,177
876,ªQªL#1,13.8,2,178
877,ªQªL#2,3.5,2,179
880,¨ôÄõH,161.0,1,180
881,¨ôÄõ#1,13.8,2,181
882,¨ôÄõ#2,13.8,2,182
883,¨ôÄõD,23.9,1,183
890,°¨¾bH,161.0,1,184
891,°¨¾b#1,13.8,2,185
892,°¨¾b#2,13.8,2,186
1000,®Ö¤TE,345.0,1,187
1007,®Ö¤TGAS#1,13.8,2,188
1008,®Ö¤TGAS#2,13.8,2,189
1009,®Ö¤TSTR,13.8,1,190
1020,®Ö¤TH,161.0,1,191
1021,®Ö¤TS.T,13.8,1,192
1030,¦y¤sL,69.0,1,193
1031,¦y¤s#1,13.8,2,194
1032,¦y¤s#2,13.8,2,195
1033,¦y¤s#3,13.8,2,196
1034,¦y¤s#4,13.8,2,197
1035,¦y¤s#5,13.8,2,198
1036,¦y¤s#6,13.8,2,199
1037,¦y¤s#7,13.8,2,200
1038,¦y¤s#8,13.8,2,201
1039,¦y¤s#9,13.8,2,202
1040,¦y¤s#10,13.8,2,203
1041,¦y¤s#11,13.8,2,204
1042,¦y¤s#12,13.8,2,205
1043,¦y¤s#1-2,69.0,1,206
1050,¿³¤GE,345.0,1,207
1051,¿³¤GH,161.0,1,208
1060,¿³¹F·sG1-1,26.0,2,209
1061,¿³¹F·sG1-2,26.0,2,210
1062,¿³¹F·sST1,26.0,2,211
1063,¿³¹F·sG2-1,26.0,2,212
1064,¿³¹F·sG2-2,26.0,2,213
1065,¿³¹F·sST2,26.0,2,214
1066,¿³¹F·sG3-1,26.0,2,215
1067,¿³¹F·sG3-2,26.0,2,216
1068,¿³¹F·sST3,26.0,2,217
1070,¿³¹F¥_E2,345.0,1,218
1077,¿³¹FG1-1,13.8,2,219
1079,¿³¹FST1,16.0,2,220
1080,¿³¹F¥_E1,345.0,1,221
1083,¿³¹F#3,22.0,2,222
1084,¿³¹F#4,22.0,2,223
1085,¿³¹F4.16,4.16,1,224
1087,¿³¹FG2-1,13.8,2,225
1089,¿³¹FST2,16.0,2,226
1090,¿³¹F«nE,345.0,1,227
1091,¿³¹FG3-1,13.8,2,228
1093,¿³¹FST3,16.0,2,229
1094,¿³¹FG4-1,13.8,2,230
1096,¿³¹FST4,16.0,2,231
1097,¿³¹FG5-1,13.8,2,232
1099,¿³¹FST5,16.0,2,233
1100,¤jªL¥ÒH,161.0,1,234
1101,¤jªL·s#1,25.0,3,235
1102,¤jªL·s#2,25.0,2,236
1106,¤jªL#6,21.5,2,237
1110,¤jªL¤AH,161.0,1,238
1120,¤jªL¤þH,161.0,1,239
1123,¤jªL¤þD,23.9,1,240
1124,¤jªLST3,4.2,1,241
1125,¤jªLTE2-2,13.8,1,242
1130,¤jªLE1,345.0,1,243
1140,¤jªLE2,345.0,1,244
1141,¤jªLTSU12-1,13.8,1,245
1200,«n¤õ¥_H,161.0,1,246
1201,«n¤õG1-1,13.8,2,247
1202,«n¤õG1-2,13.8,2,248
1203,«n¤õST1,13.8,2,249
1204,«n¤õG2-1,13.8,2,250
1205,«n¤õG2-2,13.8,2,251
1206,«n¤õST2,13.8,2,252
1210,«n¤õ«nH,161.0,1,253
1211,«n¤õG3-1,13.8,2,254
1212,«n¤õG3-2,13.8,2,255
1213,«n¤õST3,13.8,2,256
1214,«n¤õG4,16.0,2,257
1400,Às¼îL,69.0,1,258
1401,Às¼îG,11.0,2,259
1497,»Éªù,69.0,1,260
1498,»Éªù#A,69.0,1,261
1500,¥V¤sE,345.0,1,262
1501,¥V¤sH,161.0,1,263
1550,¦Á¤îE,345.0,1,264
1551,¦Á¤îH,161.0,1,265
1570,ªQ´òÁ{E,345.0,1,266
1571,ªQ´òÁ{H,161.0,1,267
1580,¥P´çE,345.0,1,268
1581,¥P´çH1,161.0,1,269
1583,¥P´çD1,23.9,1,270
1591,¥P´çH2,161.0,1,271
1593,¥P´çD2,23.9,1,272
1601,¤j¦wH,161.0,1,273
1610,¤j¦wE,345.0,1,274
1611,¦w¶WH1,161.0,1,275
1621,¦w¶WH2,161.0,1,276
1650,²`¬üE,345.0,1,277
1651,²`¬üH1,161.0,1,278
1661,²`¬üH2,161.0,1,279
1663,²`¬üD2,23.9,1,280
1700,ªO¾ôE,345.0,1,281
1701,ªO¶WH1,161.0,1,282
1711,ªO¶WH2,161.0,1,283
1750,³»´òE,345.0,1,284
1751,³»´òªFH,161.0,1,285
1752,³»´òL,69.0,2,286
1761,³»´ò¦èH,161.0,1,287
1781,³»´ò«nH,161.0,1,288
1891,Às¼æ¥_H2,161.0,1,289
1900,Às¼æ¥_E,345.0,1,290
1901,Às¼æ¥_H1,161.0,1,291
1910,Às¼æ«nE,345.0,1,292
1911,Às¼æ«nH,161.0,1,293
1930,¦Ë¶éE,345.0,1,294
1931,¦Ë¶éH1,161.0,1,295
1941,¦Ë¶éH2,161.0,1,296
2000,®o¬ÜE,345.0,1,297
2001,®o¬ÜH,161.0,1,298
2003,®o¬ÜD,23.9,1,299
2030,¦Ë¤uE,345.0,1,300
2031,¦Ë¤uH1,161.0,1,301
2032,¦Ë¤uD1,23.9,1,302
2041,¦Ë¤uH2,161.0,1,303
2042,¦Ë¤uD2,23.9,1,304
2060,¸q©ME,345.0,1,305
2100,¤Ñ½üE,345.0,1,306
2130,¦Z¨½E,345.0,1,307
2131,¦Z¨½ªFH,161.0,1,308
2133,¦Z¨½ªFD,23.9,1,309
2141,¦Z¨½¦èH,161.0,1,310
2143,¦Z¨½¦èD,23.9,1,311
2150,¤¤´äE,345.0,1,312
2151,¤¤´äH1,161.0,1,313
2161,¤¤´äH2,161.0,1,314
2162,¤¤´äL,69.0,2,315
2170,¤¤¬ìE,345.0,1,316
2171,¤¤¬ìH1,161.0,1,317
2173,¤¤¬ìD1,23.9,1,318
2181,¤¤¬ìH2,161.0,1,319
2183,¤¤¬ìD2,23.9,1,320
2200,Ãú®pE,345.0,1,321
2201,Ãú®pH,161.0,1,322
2202,Ãú®pL,69.0,2,323
2203,Ãú®pD,23.9,1,324
2300,¹üÀØE,345.0,1,325
2301,¹üÀØH1,161.0,1,326
2303,¹üÀØD1,23.9,1,327
2311,¹üÀØH2,161.0,1,328
2320,¹üªLE,345.0,1,329
2321,¹üªLH1,161.0,1,330
2322,¹üªLL1,69.0,2,331
2323,¹üªLD1,23.9,1,332
2331,¹üªLH2,161.0,1,333
2332,¹üªLL2,69.0,2,334
2333,¹üªLD2,23.9,1,335
2350,¥þ¿³E,345.0,1,336
2351,¥þ¿³H,161.0,1,337
2353,¥þ¿³D,23.9,1,338
2370,¹ü¤uE,345.0,1,339
2371,¹ü¤uH,161.0,1,340
2400,«n§ëE,345.0,1,341
2401,«n§ëH,161.0,1,342
2402,«n§ëL,69.0,2,343
2480,¤¤¼d¥_E,345.0,1,344
2490,¤¤¼d«nE,345.0,1,345
2500,¹Å¥ÁE,345.0,1,346
2501,¹Å¥Á¥_H,161.0,1,347
2503,¹Å¥Á¥_D,23.9,1,348
2511,¹Å¥Á«nH,161.0,1,349
2600,«n¬ìE,345.0,1,350
2601,«n¬ìªFH,161.0,1,351
2603,«n¬ìªFD,23.9,1,352
2611,«n¬ì¦èH,161.0,1,353
2613,«n¬ì¦èD,23.9,1,354
2621,«n¬ì«nH,161.0,1,355
2650,Às±T¥_E,345.0,1,356
2651,Às±T¥_H,161.0,1,357
2660,Às±T«nE,345.0,1,358
2661,Às±T«nH,161.0,1,359
2670,¸ô¥_¦èE,345.0,1,360
2671,¸ô¥_H1,161.0,1,361
2672,¸ô¥_L1,69.0,2,362
2673,¸ô¥_D1,23.9,1,363
2680,¸ô¥_ªFE,345.0,1,364
2681,¸ô¥_H2,161.0,1,365
2683,¸ô¥_D2,23.9,1,366
2690,¿³¯qE,345.0,1,367
2691,¿³¯qH,161.0,1,368
2692,¿³¯qL,69.0,1,369
2750,¤¯ªZE,345.0,1,370
2751,¤¯ªZH1,161.0,1,371
2753,¤¯ªZD1,23.9,1,372
2761,¤¯ªZH2,161.0,1,373
2763,¤¯ªZD2,23.9,1,374
2800,°ª¶¯E,345.0,1,375
2801,°ª¶¯H1,161.0,1,376
2802,°ª¶¯L1,69.0,2,377
2803,°ª¶¯D1,23.9,1,378
2811,°ª¶¯H2,161.0,1,379
2812,°ª¶¯L2,69.0,2,380
2813,°ª¶¯D2,23.9,1,381
2850,¤­¥ÒE,345.0,1,382
2851,¤­¥ÒH1,161.0,1,383
2853,¤­¥ÒD1,23.9,1,384
2861,¤­¥ÒH2,161.0,1,385
2862,¤­¥ÒL2,69.0,2,386
