fuel_type,plant_name,unit_name,pmax_kw,pmax_mw,total_outage_hr,planned_outage_hr,unplanned_outage_hr,n_unplanned_events,service_hr,for_rate,mttr_hr,mu_per_hr,lambda_per_hr
燃油,塔山電廠,塔山#6,8250,8.25,3368.33,3368.33,0.0,0,5391.67,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#7,8250,8.25,87.5,87.5,0.0,0,8672.5,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#8,8250,8.25,1135.48,1135.48,0.0,0,7624.52,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,塔山#9,11150,11.15,1214.85,1214.85,0.0,0,7545.15,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,麒麟#5,1540,1.54,3057.63,3057.63,0.0,0,5702.37,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,麒麟#6,1540,1.54,1140.13,1140.13,0.0,0,7619.87,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,麒麟#7,1000,1.0,399.75,399.75,0.0,0,8360.25,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,麒麟#8,1000,1.0,479.98,479.98,0.0,0,8280.02,0.001,48.0,0.02083333,2.085e-05
燃油,塔山電廠,麒麟#9,1000,1.0,516.87,516.87,0.0,0,8243.13,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#1,10443,10.443,530.07,530.07,0.0,0,8229.93,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#10,11000,11.0,1297.92,1297.92,0.0,0,7462.08,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#11,11000,11.0,2747.1,2747.1,0.0,0,6012.9,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#12,11000,11.0,1332.2,1332.2,0.0,0,7427.8,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#2,10443,10.443,578.7,578.7,0.0,0,8181.3,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#3,10443,10.443,910.03,910.03,0.0,0,7849.97,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#4,10443,10.443,631.48,631.48,0.0,0,8128.52,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#5,11000,11.0,1259.17,1259.17,0.0,0,7500.83,0.001,48.0,0.02083333,2.085e-05
燃油,尖山電廠,#6,11000,11.0,582.77,582.77,0.0,0,8177.23,0.001,48.0,0.02083333,2.085e-05
